Name,Country,Round1,Round2,Round3
"<p class=""member-card__name"">Bogdan Dugalić</p>","{'Country': <p class=""member-card__country"">Serbia</p>}","[' ~ | Round 1 | ~ Johann Sebastian Bach ~ | Prelude and Fugue in G minor, BWV 885, from The Well-Tempered Clavier, Book 2 | ~ Ludwig van Beethoven ~ | Piano Sonata No. 7 in D major, Op. 10 No. 3 | ~ Presto / Largo e mesto / Menuetto. Allegro / Rondo. Allegro ~ | Pyotr Tchaikovsky | ~ Dumka, Op. 59 ~ | Frédéric Chopin | ~ Étude in B minor, Op. 25 No. 10 ~ | Franz Liszt | ~ Transcendental Etude No. 8 Wilde Jagd ~ | Sergei Rachmaninoff | ~ Étude-tableau in E-flat minor, Op. 33 No. 6']","[' ~ | Round 2 | ~ Frédéric Chopin ~ | Piano Sonata No. 2 in B-flat minor, Op. 35 | ~ Grave DASH Doppio movimento / Scherzo / Marche funèbre / Presto ~ | Pyotr Tchaikovsky | ~ February (Carnival) from The Seasons, Op. 37-bis ~ | Claude Debussy | ~ Images (Book 1) ~ | Reflets dans lGYATeau / Hommage à Rameau / Mouvement | ~ Sergei Prokofiev ~ | Piano Sonata No. 7 in B-flat major, Op. 83 | ~ Allegro inquieto / Andante caloroso / Precipitato']","[' ~ | Round 3 | ~ Pyotr Tchaikovsky ~ | Piano Concerto No. 1 in B-flat minor, Op. 23 | ~ Allegro non troppo e molto maestoso DASH Allegro con spirito / Andantino semplice DASH Prestissimo / Allegro con fuoco ~ | Sergei Prokofiev | ~ Piano Concerto No. 2 in G minor, Op. 16 ~ | Andantino DASH Allegretto / Scherzo. Vivace / Intermezzo. Allegro moderato / Finale. Allegro tempestoso']"
"<p class=""member-card__name"">Yelaman Yernur</p>","{'Country': <p class=""member-card__country"">Kazakhstan</p>}","[' ~ | Round 1 | ~ Johann Sebastian Bach ~ | Prelude and Fugue in B-flat minor, BWV 867, from The Well-Tempered Clavier, Book 1 | ~ Joseph Haydn ~ | Piano Sonatа (Partita) in G major, Hob.XVI:6 | ~ Allegro / Menuetto / Adagio / Molto allegro ~ | Pyotr Tchaikovsky | ~ Berceuse, Op. 72 No. 2 ~ | Franz Liszt | ~ Étude dGYATexécution transcendante No. 10 in F minor ~ | Pyotr Tchaikovsky | ~ Chant élégiaque (No. 14) and Un poco di Chopin (No. 15) from 18 Pieces, Op. 72 ~ | Frédéric Chopin | ~ Etude in A minor, Op. 25 No. 4 ~ | Pyotr Tchaikovsky | ~ Scène dansante: Invitation au trépak, Op. 72 No. 18 ~ | Sergei Rachmaninoff | ~ Étude-tableau in D major, Op. 39 No. 9']","[' ~ | Round 2 | ~ Claude Debussy ~ | Prélude No. 8 La fille aux cheveux de linImages (Book 1) | ~ Reflets dans lGYATeau / Hommage à Rameau / MouvementÉtude No. 5 Pour les octaves from Études ~ | Nikolay Medtner | ~ Piano Sonata in F minor, Op.5 ~ | Allegro / Intermezzo. Allegro/ Largo / Finale. Allegro risoluto | ~ Pyotr Tchaikovsky ~ | Dumka, Op. 59']","[' ~ | Round 3 | ~ Sergey Prokofiev ~ | Piano Concerto No. 1 in D-flat major, Op. 10 | ~ Allegro brioso / Andante assai / Allegro scherzando ~ | Pyotr Tchaikovsky | ~ Piano Concerto No. 2 in G major, Op. 44 ~ | Allegro brillante e molto vivace / Andante non troppo / Allegro con fuoco']"
"<p class=""member-card__name"">Min Joo Yi</p>","{'Country': <p class=""member-card__country"">USA</p>}","[' ~ | Round 1 | ~ Johann Sebastian Bach ~ | Prelude and Fugue in C minor, BWV 871, from Well-Tempered Clavier, Part 2 | ~ Ludwig van Beethoven ~ | Piano Sonata No. 32 in C minor, Op. 111 | ~ Maestoso DASH Allegro con brio ed appassionato / Arietta. Adagio molto semplice e cantabile ~ | Pyotr Tchaikovsky | ~ Romance, Op. 16 No. 1 ~ | Frédéric Chopin | ~ Étude in F major, Op. 10 No. 8 ~ | Franz Liszt | ~ Étude No. 3 La campanella from Grandes études de Paganini ~ | Sergei Rachmaninoff | ~ Étude-tableau in F-sharp minor, Op. 39 No. 3']","[' ~ | Round 2 | ~ Pyotr Tchaikovsky ~ | Impromptu, Op. 1 No. 2 | ~ Pyotr Tchaikovsky DASH Mikhail Pletnev ~ | Concert Suite from The Nutcracker | ~ Robert Schumann ~ | Carnaval, Op. 9 | ~ Mily Balakirev ~ | Oriental Fantasy Islamey']","[' ~ | Round 3 | ~ Pyotr Tchaikovsky ~ | Piano Concerto No. 1 in B-flat minor, Op. 23 | ~ Allegro non troppo e molto maestoso DASH Allegro con spirito / Andantino semplice DASH Prestissimo / Allegro con fuoco ~ | Frédéric Chopin | ~ Piano Concerto No. 2 in F minor, Op. 21 ~ | Maestoso / Larghetto / Allegro vivace']"
"<p class=""member-card__name"">Aleksandr Kliuchko</p>","{'Country': <p class=""member-card__country"">Russia</p>}","[' ~ | Round 1 | ~ Johann Sebastian Bach ~ | Prelude and Fugue in B-flat minor, BWV 867, from The Well-Tempered Clavier, Book 1 | ~ Ludwig van Beethoven ~ | Piano Sonata No. 32 in C minor, Op. 111 | ~ Maestoso DASH Allegro con brio ed appassionato / Arietta. Adagio molto semplice cantabile ~ | Pyotr Tchaikovsky | ~ Passé lointain, Op. 72 No. 17 ~ | Sergei Rachmaninoff | ~ Étude-tableau in E-flat\xa0minor, Op. 33 No. 6 ~ | Frederic Chopin | ~ Étude in F\xa0major, Op. 10 No. 8 ~ | Franz Liszt | ~ Étude dGYATexécution transcendante No. 8 Wilde Jagd']","[' ~ | Round 2 | ~ Franz Liszt ~ | Four Études dGYATexécution transcendante | ~ Preludio / Molto vivace / Paysage / Mazeppa ~ | Pyotr Tchaikovsky | ~ Scherzo (Allegro molto vivace)\xa0from Symphony No. 6, Op. 74 (arranged by Samuil Feinberg) ~ | Karol Szymanowski | ~ Variations in B-flat minor, Op. 3 ~ | Sergei Rachmaninoff | ~ Piano Sonata No. 2, Op. 36 (\xa02nd version) ~ | Allegro agitato / Non allegro / LGYATistesso tempo DASH Allegro molto']","[' ~ | Round 3 | ~ Pyotr Tchaikovsky ~ | Piano Concerto No. 1 in B-flat minor, Op. 23 | ~ Allegro non troppo e molto maestoso DASH Allegro con spirito / Andantino semplice DASH Prestissimo / Allegro con fuoco ~ | Johannes Brahms | ~ Piano Concerto No. 2 in B-flat major, Op. 83 ~ | Allegro non troppo / Allegro appassionato / Andante / Allegretto grazioso']"
"<p class=""member-card__name"">Nikolai Kuznetsov</p>","{'Country': <p class=""member-card__country"">Russia</p>}","[' ~ | Round 1 | ~ Johann Sebastian Bach ~ | Prelude and Fugue in B-flat minor, BWV 867, from The Well-Tempered Clavier, Book 1 | ~ Ludwig van Beethoven ~ | Piano Sonata No. 31 in A-flat major, Op. 110 | ~ Moderato cantabile molto espressivo / Allegro molto / Adagio ma non troppo DASH Arioso dolente dashGYAT ~ | Fuga. Allegro ma non troppo | ~ Pyotr Tchaikovsky ~ | Nocturne in F major, Oр. 10 No. 1 | ~ Frédéric Chopin ~ | Étude in C minor, Op. 10 No. 12 | ~ Sergei Rachmaninoff ~ | Étude-tableau in E-flat minor, Op. 39 No. 5 | ~ Franz Liszt ~ | Étude dGYATexécution transcendante No. 4 Mazeppa']","[' ~ | Round 2 | ~ Modest Musorgsky ~ | Pictures at an Exhibition | ~ Pyotr Tchaikovsky ~ | Dumka, Op. 59 | ~ Alberto Ginastera ~ | Piano Sonata No. 1, Op. 22 | ~ Allegro marcato / Presto misterioso / Adagio molto appassionato / Ruvido ed ostinato']","[' ~ | Round 3 | ~ Pyotr Tchaikovsky ~ | Piano Concerto No. 1 in B-flat minor, Op. 23 | ~ Allegro non troppo e molto maestoso DASH Allegro con spirito / Andantino semplice DASH Prestissimo / Allegro con fuoco ~ | Sergei Rachmaninoff | ~ Piano Concerto No. 2 in C minor, Op. 18 ~ | Moderato / Adagio sostenuto / Allegro scherzando']"
"<p class=""member-card__name"">Koki Kuroiwa</p>","{'Country': <p class=""member-card__country"">Japan</p>}","[' ~ | Round 1 | ~ Johann Sebastian Bach ~ | Prelude and Fugue in B major BWV 892, No. 23 from The Well-Tempered Clavier, Book 2 | ~ Joseph Haydn ~ | Piano Sonata in B minor, Hob.XVI:32 | ~ Allegro moderato / Menuet / Finale. Presto ~ | Pyotr Tchaikovsky | ~ Dumka, Op. 59 ~ | November (On the Troika) from The Seasons, Op. 37-bis | ~ Frédéric Chopin ~ | Étude in E minor, Op. 25 No. 5 | ~ Franz Liszt ~ | Étude No. 3 La campanella from Grandes études de Paganini | ~ Sergei Rachmaninoff ~ | Étude-tableau in D major, Op. 39 No. 9']","[' ~ | Round 2 | ~ Pyotr Tchaikovsky DASH Mikhail Pletnev ~ | Concert Suite from The Nutcracker | ~ Alexander Scriabin ~ | Fantaisie in B minor, Op. 28 | ~ Mily Balakirev ~ | Nocturne No. 3 in D minor | ~ Sergei Rachmaninoff ~ | Piano Sonata No. 2 in B-flat minor, Op. 36 | ~ Allegro agitato / Non allegro DASH Lento / LGYATistesso tempo DASH Allegro molto']","[' ~ | Round 3 | ~ Pyotr Tchaikovsky ~ | Piano Concerto No. 1 in B-flat minor, Op. 23 | ~ Allegro non troppo e molto maestoso DASH Allegro con spirito / Andantino semplice DASH Prestissimo / Allegro con fuoco ~ | Sergei Rachmaninoff | ~ Piano concerto No. 3 in D minor, Op. 30 ~ | Allegro ma non tanto / Intermezzo. Adagio / Finale. Alla breve']"
"<p class=""member-card__name"">Xianfei Liu</p>","{'Country': <p class=""member-card__country"">China</p>}","[' ~ | Round 1 | ~ Johann Sebastian Bach ~ | Prelude and Fugue in B-flat major, BWV 866, from The Well-Tempered Clavier, Book 1 | ~ Frédéric Chopin ~ | Étude in A-flat major, Op. 10 No. 10 | ~ Franz Liszt ~ | Étude No. 1 in G minor from Grandes études de Paganini | ~ Pyotr Tchaikovsky ~ | Nocturne in F major, Op. 10 No. 1 | ~ May (White Nights) from The Seasons, Op. 37-bis ~ | Joseph Haydn | ~ Piano Sonata in E-flat major, Hob.XVI:52 ~ | Allegro moderato / Adagio / Finale. Presto | ~ Sergei Rachmaninoff ~ | Étude-tableau in C minor, Op. 39 No. 1']","[' ~ | Round 2 | ~ Pyotr Tchaikovsky ~ | May (White Nights) from The Seasons, Op. 37-bis | ~ Frederic Mompou ~ | Variations on a Theme by Chopin | ~ Frédéric Chopin ~ | Ballade No. 2 in F major, Op. 38 | ~ Maurice Ravel ~ | Jeux dGYATeau | ~ Sergei Prokofiev ~ | Six pieces from 10 Pieces, Op. 12 (№№ 1, 3, 6, 7, 9, 10)']","[' ~ | Round 3 | ~ Pyotr Tchaikovsky ~ | Piano Concerto No. 1 in B-flat minor, Op. 23 | ~ Allegro non troppo e molto maestoso DASH Allegro con spirito / Andantino semplice DASH Prestissimo / Allegro con fuoco ~ | Edvard Grieg | ~ Piano Concerto in A minor, Op. 16 ~ | Allegro molto moderato / Adagio / Allegro moderato molto e marcato']"
"<p class=""member-card__name"">Qiao Liu</p>","{'Country': <p class=""member-card__country"">China</p>}","[' ~ | Round 1 | ~ Johann Sebastian Bach ~ | Prelude and Fugue in G-sharp minor, BWV 863, from The Well-Tempered Clavier, Book 1 | ~ Franz Liszt ~ | Concert étude in D-flat major Waldesrauschen | ~ Sergei Rachmaninoff ~ | Étude-tableau in B minor, Op. 39 No. 4 | ~ Frédéric Chopin ~ | Étude in A-flat major, Op. 10 No. 10 | ~ Pyotr Tchaikovsky ~ | Nocturne in F major, Op. 10 No. 1 | ~ Ludwig van Beethoven ~ | Piano Sonata No. 31 in A-flat major, Op. 110 | ~ Moderato cantabile molto espressivo / Allegro molto / Adagio ma non troppo DASH Arioso dolente DASH Fuga. Allegro ma non troppo']","[' ~ | Round 2 | ~ Samuel Barber ~ | Piano Sonata in E-flat minor, Op. 26 | ~ Allegro energico / Allegro vivace e leggiero / Adagio mesto/ Fuga. Allegro con spirito ~ | Pyotr Tchaikovsky | ~ Valse sentimentale, Op. 51 No. 6 ~ | Claude Debussy | ~ Images (Book 1) ~ | Reflets dans lGYATeau / Hommage à Rameau / Mouvement | ~ Sergei Rachmaninoff ~ | Piano Sonata No. 2 in B-flat minor, Op. 36 | ~ Allegro agitato / Non allegro DASH Lento / LGYATistesso tempo DASH Allegro molto']","[' ~ | Round 3 | ~ Pyotr Tchaikovsky ~ | Piano Concerto No. 1 in B-flat minor, Op. 23 | ~ Allegro non troppo e molto maestoso DASH Allegro con spirito / Andantino semplice DASH Prestissimo / Allegro con fuoco ~ | Ludwig van Beethoven | ~ Piano Concerto No.4 in G major, Op. 58 ~ | Allegro moderato / Andante con moto / Rondo. Vivace']"
"<p class=""member-card__name"">Anchi Mai</p>","{'Country': <p class=""member-card__country"">France</p>}","[' ~ | Round 1 | ~ Johann Sebastian Bach ~ | Prelude and Fugue in A-flat major, BWV 862, from Well-Tempered Clavier, Part 1 | ~ Ludwig van Beethoven ~ | Piano Sonata No. 30 in E major, Op. 109 | ~ Vivace ma non troppo, sempre legato DASH Adagio espressivo / Prestissimo / Gesangvoll, mit innigster Empfindung. Andante molto cantabile ed espressivo ~ | Pyotr Tchaikovsky | ~ Méditation from 18 Pieces, Op. 72 No. 5 ~ | Frédéric Chopin | ~ Étude in A minor, Op. 10 No. 2 ~ | Franz Liszt | ~ Transcendental Étude No. 5 Feux follets ~ | Sergei Rachmaninoff | ~ Étude-tableau in A minor, Op. 39 No. 6']","[' ~ | Round 2 | ~ Pyotr Tchaikovsky ~ | Dumka, Op. 59 | ~ Alexander Scriabin ~ | Piano Sonata No. 2 in G-sharp minor (Sonata-Fantasy), Op. 19 | ~ Andante / Presto ~ | Robert Schumann | ~ Piano Sonata No. 2 in G minor, Op. 22 ~ | So rasch wie möglich / Andantino. Getragen / Scherzo. Sehr rasch und markiert / Rondo. Presto | ~ Franz Liszt ~ | Four Transcendental Études | ~ Prelude / Molto vivace / Paysage / Mazeppa']","[' ~ | Round 3 | ~ Pyotr Tchaikovsky ~ | Piano Concerto No. 1 in B-flat minor, Op. 23 | ~ Allegro non troppo e molto maestoso DASH Allegro con spirito / Andantino semplice DASH Prestissimo / Allegro con fuoco ~ | Sergei Rachmaninoff | ~ Piano Concerto No. 2 in C minor, Op. 18 ~ | Moderato / Adagio sostenuto / Allegro scherzando']"
"<p class=""member-card__name"">Kyoungsun Park</p>","{'Country': <p class=""member-card__country"">South Korea</p>}","[' ~ | Round 1 | ~ Johann Sebastian Bach ~ | Prelude and Fugue in B-flat major, BWV 866, from Well-Tempered Clavier, Part 1 | ~ Joseph Haydn ~ | Piano Sonata in C major, Hob.XVI:50 | ~ Allegro / Adagio / Allegro molto ~ | Frédéric Chopin | ~ Étude in C minor, Op. 10 No. 12 ~ | Franz Liszt | ~ Étude No. 6 in A minor from Grandes études de Paganini ~ | Sergei Rachmaninoff | ~ Étude-tableau in D minor, Op. 39 No. 8 ~ | Pyotr Tchaikovsky | ~ May (White Nights) from The Seasons, Op. 37-bis ~ | Pyotr Tchaikovsky | ~ Theme and Variations, Op. 19 No. 6']","[' ~ | Round 2 | ~ Pyotr Tchaikovsky ~ | March (Song of the Lark) from The Seasons, Op. 37-bis | ~ Frédéric Chopin ~ | Rondo in C major, Op. 73 | ~ Sergei Bortkiewicz ~ | 10 Preludes, Op. 33 | ~ Igor Stravinsky ~ | Three movements from\xa0Pétrouchka | ~ Danse russe / Chez Pétrouchka / La Semaine grasse']","[' ~ | Round 3 | ~ Pyotr Tchaikovsky ~ | Piano Concerto No. 1 in B-flat minor, Op. 23 | ~ Allegro non troppo e molto maestoso DASH Allegro con spirito / Andantino semplice DASH Prestissimo / Allegro con fuoco ~ | Wolfgang Amadeus Mozart | ~ Piano Concerto No. 17 in G major, KV 453 (cadenza by Kyoungsun Park) ~ | Allegro / Andante / Allegretto']"
"<p class=""member-card__name"">Marcel Tadokoro</p>","{'Country': <p class=""member-card__country"">Japan/France</p>}","[' ~ | Round 1 | ~ Johann Sebastian Bach ~ | Prelude and Fugue in D minor, BWV 875, from Well-Tempered Clavier, Part 2 | ~ Ludwig van Beethoven ~ | Piano Sonata No. 16 in G major, Op. 31 No. 1 | ~ Allegro vivace / Adagio grazioso / Rondo. Allegretto DASH Presto ~ | Frédéric Chopin | ~ Étude in A minor, Op. 10 No. 2 ~ | Franz Liszt | ~ Transcendental Étude No. 5 Feux follets ~ | Sergei Rachmaninoff | ~ Étude-tableau in E-flat major, Op. 33 No. 7 ~ | Pyotr Tchaikovsky | ~ Danse caractéristique (No. 4) and Scherzo fantaisie (No. 10) from 18 Pieces, Op. 72']","[' ~ | Round 2 | ~ Evgeny Svetlanov ~ | Moderato (No. 1) and Vesnyanki (No. 9) from 12 Preludes | ~ Alexander Scriabin ~ | 3 Études, Op. 65 | ~ Allegro fantastico / Allegretto / Molto vivace ~ | Sergei Rachmaninoff | ~ Variations on a Theme by Corelli, Op. 42 ~ | Pyotr Tchaikovsky | ~ Piano Sonata in C-sharp minor, Op. posth. 80 ~ | Allegro con fuoco / Andante / Allegro vivo / Allegro vivo | ~ Charles Trenet DASH Alexis Weissenberg ~ | En avril à Paris']","[' ~ | Round 3 | ~ Wolfgang Amadeus Mozart ~ | Piano Concerto No. 27 in B-flat major, KV 595 | ~ Allegro / Larghetto / Allegro ~ | Pyotr Tchaikovsky | ~ Piano Concerto No. 1 in B-flat minor, Op. 23 (original version) ~ | Allegro non troppo e molto maestoso DASH Allegro con spirito / Andantino semplice DASH Allegro vivace assai / Allegro con fuoco']"
"<p class=""member-card__name"">Yan Fang</p>","{'Country': <p class=""member-card__country"">China</p>}","[' ~ | Round 1 | ~ Johann Sebastian Bach ~ | Prelude and Fugue in C-sharp minor, BWV 849, from Well-Tempered Clavier, Part 1 | ~ Ludwig van Beethoven ~ | Piano Sonata No. 31 in A-flat major, Op. 110 | ~ Moderato cantabile molto espressivo / Allegro molto / Adagio ma non troppo DASH Arioso dolente \\dashGYAT ~ | Fuga. Allegro ma non troppo | ~ Pyotr Tchaikovsky ~ | Méditation from 18 Pieces, Op. 72 No. 5 | ~ Frédéric Chopin ~ | Étude in C minor, Op. 10 No. 12 | ~ Franz Liszt ~ | Transcendental Étude No. 7 Eroica | ~ Sergei Rachmaninoff ~ | Étude-tableau in E-flat minor, Op. 33 No. 6']","[' ~ | Round 2 | ~ Pyotr Tchaikovsky ~ | June (Barcarolle) and October (Autumn Song) from The Seasons, Op. 37-bis | ~ Johann Sebastian Bach DASH Ferruccio Busoni ~ | Chaconne from Violin Partita in D minor | ~ Alexander Scriabin ~ | Fantaisie in B minor, Op. 28 | ~ Sergei Rachmaninoff ~ | Piano Sonata No. 2 in B-flat minor, Op. 36 | ~ Allegro agitato / Non allegro DASH Lento / LGYATistesso tempo DASH Allegro molto']","[' ~ | Round 3 | ~ Pyotr Tchaikovsky ~ | Piano Concerto No. 1 in B-flat minor, Op. 23 | ~ Allegro non troppo e molto maestoso DASH Allegro con spirito / Andantino semplice DASH Prestissimo / Allegro con fuoco ~ | Maurice Ravel | ~ Piano Concerto No. 1 in G major ~ | Allegramente / Adagio assai / Presto']"
"<p class=""member-card__name"">Konstantin Khachikyan</p>","{'Country': <p class=""member-card__country"">Russia</p>}","[' ~ | Round 1 | ~ Johann Sebastian Bach ~ | Prelude and Fugue in E major, BWV 878, from The Well-Tempered Clavier, Book 2 | ~ Wolfgang Amadeus Mozart ~ | Piano Sonata No.18 in D major, KV 576 | ~ Allegro / Adagio / Allegretto ~ | Frédéric Chopin | ~ Étude in G-sharp minor, Op. 25 No. 6 ~ | Franz Liszt | ~ Étude dGYATexécution transcendante No. 12 Chasse-neige ~ | Sergei Rachmaninoff | ~ Étude-tableau in D minor, Op. 33 No. 4 ~ | Pyotr Tchaikovsky | ~ Méditation, Op. 72 No. 5 ~ | Nocturne in C-sharp minor, Op. 19 No. 4 | ~ Scherzo humoristique, Op. 19 No. 2']","[' ~ | Round 2 | ~ Frédéric Chopin ~ | Polonaise-fantaisie in A-flat major, Op. 61 | ~ Pyotr Tchaikovsky ~ | Three pieces from The Seasons, Op.37-bis | ~ June (Barcarolle) / July (Song of the Reaper) / August (Harvest) ~ | Sergei Rachmaninoff | ~ Variations on a Theme of Corelli, Op. 42 ~ | Maurice Ravel | ~ La Valse (arrangement for piano)']","[' ~ | Round 3 | ~ Pyotr Tchaikovsky ~ | Piano Concerto No. 1 in B-flat minor, Op. 23 | ~ Allegro non troppo e molto maestoso DASH Allegro con spirito / Andantino semplice DASH Prestissimo / Allegro con fuoco ~ | Sergei Rachmaninoff | ~ Piano concerto No. 3 in D minor, Op. 30 ~ | Allegro ma non tanto / Intermezzo. Adagio / Finale. Alla breve']"
"<p class=""member-card__name"">Zijing Zeng</p>","{'Country': <p class=""member-card__country"">China</p>}","[' ~ | Round 1 | ~ Ludwig van Beethoven ~ | Piano Sonata No. 30 in E major, Op. 109 | ~ Vivace ma non troppo, sempre legato DASH Adagio espressivo / Prestissimo / Gesangvoll, mit innigster Empfindung. Andante molto cantabile ed espressivo ~ | Johann Sebastian Bach | ~ Prelude and Fugue in D major, BWV 874, from The Well-Tempered Clavier, Book 2 ~ | Pyotr Tchaikovsky | ~ October (Autumn Song) from The Seasons, Op. 37-bis ~ | Sergei Rachmaninoff | ~ Étude-tableau in E-flat minor, Op. 33 No. 6 ~ | Frédéric Chopin | ~ Étude in C minor, Op. 10 No. 12 ~ | Franz Liszt | ~ Étude dGYATexécution transcendante No. 10 in F minor']","[' ~ | Round 2 | ~ Sergei Rachmaninoff ~ | Six Moments musicaux, Op. 16 | ~ Andantino / Allegretto / Andante cantabile / Presto / Adagio sostenuto / Maestoso ~ | Pyotr Tchaikovsky | ~ Chant élégiaque, Op. 72 No. 14 ~ | Franz Liszt | ~ Après une lecture du Dante. Fantasia quasi Sonata from Années de pèlerinage II']","[' ~ | Round 3 | ~ Ludwig van Beethoven ~ | Piano Concerto No. 1 in C major, Op. 15 | ~ Allegro con brio / Largo / Rondo. Allegro ~ | Pyotr Tchaikovsky | ~ Piano Concerto No. 2 in G major, Op. 44 (composerGYATs version) ~ | Allegro brillante e molto vivace / Andante non troppo / Allegro con fuoco']"
"<p class=""member-card__name"">Anton Yashkin</p>","{'Country': <p class=""member-card__country"">Russia</p>}","[' ~ | Round 1 | ~ Johann Sebastian Bach ~ | Prelude and Fugue in A-flat major, BWV 862, from The Well-Tempered Clavier, Book 1 | ~ Ludwig van Beethoven ~ | Piano Sonata No. 31 in A-flat major, Op. 110 | ~ Moderato cantabile molto espressivo / Allegro molto / Adagio ma non troppo DASH Arioso dolente \\dashGYAT ~ | Fuga. Allegro ma non troppo | ~ Frédéric Chopin ~ | Étude in C-sharp minor, Op. 10 No. 4 | ~ Franz Liszt ~ | Étude dGYATexécution transcendante No. 12 Chasse-neige | ~ Sergei Rachmaninoff ~ | Étude-tableau in D major, Op. 39 No. 9 | ~ Pyotr Tchaikovsky ~ | Chant élégiaque, Op. 72 No. 14']","[' ~ | Round 2 | ~ Franz Liszt ~ | Two Legends | ~ St. François dGYATAssise: la prédication aux oiseaux / St. François de Paule: marchant sur les flots ~ | Pyotr Tchaikovsky | ~ December (Christmas) from The Seasons, Op. 37-bis ~ | Sergei Rachmaninoff | ~ Piano Sonata No. 1 in D minor, Op. 28 ~ | Allegro moderato / Lento / Allegro molto']","[' ~ | Round 3 | ~ Pyotr Tchaikovsky ~ | Piano Concerto No. 1 in B-flat minor, Op. 23 | ~ Allegro non troppo e molto maestoso DASH Allegro con spirito / Andantino semplice DASH Prestissimo / Allegro con fuoco ~ | Sergei Rachmaninoff | ~ Piano Concerto No. 2 in C minor, Op. 18 ~ | Moderato / Adagio sostenuto / Allegro scherzando']"
