ParticipantName,ParticipantCountry,R1Composer,R1Piece,R1PCString,R2Composer,R2Piece,R2PCString,R3Composer,R3Piece,R3PCString,Placement,Year
Alessandro Villalva,Italy,Muzio Clementi ," Étude in C-sharp minor, Op. 10 No. 4  "," Étude in C-sharp minor, Op. 10 No. 4  | Muzio Clementi ",NaN,NaN,NaN,NaN,NaN,NaN,NaN,2023
Alessandro Villalva,Italy, Sergei Rachmaninoff  ,"Étude-tableau in D minor, Op. 33 No. 4 "," Sergei Rachmaninoff  | Étude-tableau in D minor, Op. 33 No. 4 ", Johannes Brahms  ,"Fantasien, Op. 116 "," Johannes Brahms  | Fantasien, Op. 116 ",Pyotr Tchaikovsky , Moderato / Adagio sostenuto / Allegro scherzando  , Moderato / Adagio sostenuto / Allegro scherzando  | Pyotr Tchaikovsky ,NaN,2023
Alessandro Villalva,Italy,Muzio Clementi ," Piano Sonata in B minor, Op. 40 No. 2"," Piano Sonata in B minor, Op. 40 No. 2",NaN,NaN,NaN,NaN,NaN,NaN,NaN,2023
Alessandro Villalva,Italy,Franz Liszt ,Transcendental Étude No. 5 Feux follets , Franz Liszt  | Transcendental Étude No. 5 Feux follets ,Pyotr Tchaikovsky , Capriccio in D minor / Intermezzo in A minor / Capriccio in G minor / Intermezzo in E major / Intermezzo in E minor / Intermezzo in E major / Capriccio in D minor  , Capriccio in D minor / Intermezzo in A minor / Capriccio in G minor / Intermezzo in E major / Intermezzo in E minor / Intermezzo in E major / Capriccio in D minor  | Pyotr Tchaikovsky ,Pyotr Tchaikovsky ," Piano Concerto No. 1 in B-flat minor, Op. 23  | Allegro non troppo e molto maestoso – Allegro con spirito / Andantino semplice – Prestissimo / Allegro con fuoco"," Piano Concerto No. 1 in B-flat minor, Op. 23  | Allegro non troppo e molto maestoso – Allegro con spirito / Andantino semplice – Prestissimo / Allegro con fuoco",NaN,2023
Anchi Mai,France,Sergei Rachmaninoff ," Étude-tableau in A minor, Op. 39 No. 6"," Étude-tableau in A minor, Op. 39 No. 6",NaN,NaN,NaN,NaN,NaN,NaN,NaN,2023
Anchi Mai,France,Sergei Rachmaninoff , Transcendental Étude No. 5 Feux follets  , Transcendental Étude No. 5 Feux follets  | Sergei Rachmaninoff ,NaN,NaN, Prelude / Molto vivace / Paysage / Mazeppa,NaN,NaN,NaN,NaN,2023
Anchi Mai,France,Franz Liszt ," Étude in A minor, Op. 10 No. 2  "," Étude in A minor, Op. 10 No. 2  | Franz Liszt ", Franz Liszt  ,Four Transcendental Études , Franz Liszt  | Four Transcendental Études ,NaN,NaN,NaN,NaN,2023
Anchi Mai,France,Frédéric Chopin ," Méditation from 18 Pieces, Op. 72 No. 5  "," Méditation from 18 Pieces, Op. 72 No. 5  | Frédéric Chopin ",Robert Schumann," Piano Sonata No. 2 in G minor, Op. 22  So rasch wie möglich / Andantino. Getragen / Scherzo. Sehr rasch und markiert / Rondo. Presto "," Piano Sonata No. 2 in G minor, Op. 22  | So rasch wie möglich / Andantino. Getragen / Scherzo. Sehr rasch und markiert / Rondo. Presto ",NaN,NaN,NaN,NaN,2023
Anchi Mai,France,Pyotr Tchaikovsky ," Vivace ma non troppo, sempre legato – Adagio espressivo / Prestissimo / Gesangvoll, mit innigster Empfindung. Andante molto cantabile ed espressivo  "," Vivace ma non troppo, sempre legato – Adagio espressivo / Prestissimo / Gesangvoll, mit innigster Empfindung. Andante molto cantabile ed espressivo  | Pyotr Tchaikovsky ",Robert Schumann, Andante / Presto  , Andante / Presto  | Robert Schumann ,Sergei Rachmaninoff ," Piano Concerto No. 2 in C minor, Op. 18  Moderato / Adagio sostenuto / Allegro scherzando"," Piano Concerto No. 2 in C minor, Op. 18  | Moderato / Adagio sostenuto / Allegro scherzando",NaN,2023
Anchi Mai,France,Ludwig van Beethoven  ,"Piano Sonata No. 30 in E major, Op. 109 "," Ludwig van Beethoven  | Piano Sonata No. 30 in E major, Op. 109 ", Alexander Scriabin  ,"Piano Sonata No. 2 in G-sharp minor (Sonata-Fantasy), Op. 19 "," Alexander Scriabin  | Piano Sonata No. 2 in G-sharp minor (Sonata-Fantasy), Op. 19 ",Sergei Rachmaninoff , Allegro non troppo e molto maestoso – Allegro con spirito / Andantino semplice – Prestissimo / Allegro con fuoco  , Allegro non troppo e molto maestoso – Allegro con spirito / Andantino semplice – Prestissimo / Allegro con fuoco  | Sergei Rachmaninoff ,NaN,2023
Anchi Mai,France,Johann Sebastian Bach  ,"Prelude and Fugue in A-flat major, BWV 862, from Well-Tempered Clavier, Part 1 ","   Johann Sebastian Bach  | Prelude and Fugue in A-flat major, BWV 862, from Well-Tempered Clavier, Part 1 ",  Pyotr Tchaikovsky  ,"Dumka, Op. 59 ","  Pyotr Tchaikovsky  | Dumka, Op. 59 ",Pyotr Tchaikovsky  ,"Piano Concerto No. 1 in B-flat minor, Op. 23 ","  Pyotr Tchaikovsky  | Piano Concerto No. 1 in B-flat minor, Op. 23 ",NaN,2023
Angel Stanislav Wang,USA,Frédéric Chopin , Étude d'exécution transcendante No. 2 in A minor  , Étude d'exécution transcendante No. 2 in A minor  | Frédéric Chopin ,NaN,NaN, Danse russe / Chez Pétrouchka / La Semaine grasse,NaN,NaN,NaN,2,2023
Angel Stanislav Wang,USA,Pyotr Tchaikovsky , Allegro assai / Andante con moto / Allegro ma non troppo – Presto  , Allegro assai / Andante con moto / Allegro ma non troppo – Presto  | Pyotr Tchaikovsky , Pyotr Tchaikovsky  ,"Dumka, Op. 59 "," Pyotr Tchaikovsky  | Dumka, Op. 59 ",Benjamin Britten ," Piano concerto in D major, Op. 13  Toccata. Allegro molto e con brio / Waltz. Allegretto / Impromptu. Andante lento / March. Allegro moderato sempre a la marcia"," Piano concerto in D major, Op. 13  | Toccata. Allegro molto e con brio / Waltz. Allegretto / Impromptu. Andante lento / March. Allegro moderato sempre a la marcia",2,2023
Angel Stanislav Wang,USA,Sergei Rachmaninoff ," Étude in C-sharp minor, Op. 10 No. 4  "," Étude in C-sharp minor, Op. 10 No. 4  | Sergei Rachmaninoff ",NaN,NaN,NaN,NaN,NaN,NaN,2,2023
Angel Stanislav Wang,USA,Ludwig van Beethoven  ,"Piano Sonata No. 23 in F minor Appassionata, Op. 57 "," Ludwig van Beethoven  | Piano Sonata No. 23 in F minor Appassionata, Op. 57 ", Franz Liszt  ,Piano Sonata in B minor , Franz Liszt  | Piano Sonata in B minor ,Benjamin Britten , Allegro non troppo e molto maestoso – Allegro con spirito / Andantino semplice – Prestissimo / Allegro con fuoco  , Allegro non troppo e molto maestoso – Allegro con spirito / Andantino semplice – Prestissimo / Allegro con fuoco  | Benjamin Britten ,2,2023
Angel Stanislav Wang,USA,Sergei Rachmaninoff ," Étude-tableau in D major, Op. 39 No. 9"," Étude-tableau in D major, Op. 39 No. 9",NaN,NaN,NaN,NaN,NaN,NaN,2,2023
Angel Stanislav Wang,USA,Johann Sebastian Bach  ,"Prelude and Fugue in F major, BWV 880, from The Well-Tempered Clavier, Book 2 ","   Johann Sebastian Bach  | Prelude and Fugue in F major, BWV 880, from The Well-Tempered Clavier, Book 2 ",Enrique Granados  ,"Quejas o la maja y el ruesenor, No. 4 from Goyescas ","  Enrique Granados  | Quejas o la maja y el ruesenor, No. 4 from Goyescas ",Pyotr Tchaikovsky  ,"Piano Concerto No. 1 in B-flat minor, Op. 23 ","  Pyotr Tchaikovsky  | Piano Concerto No. 1 in B-flat minor, Op. 23 ",2,2023
Angel Stanislav Wang,USA,Franz Liszt ," Valse sentimentale, Op. 51 No. 6  "," Valse sentimentale, Op. 51 No. 6  | Franz Liszt ", Igor Stravinsky  ,Three movements from Pétrouchka , Igor Stravinsky  | Three movements from Pétrouchka ,NaN,NaN,NaN,2,2023
Anton Yashkin,Russia, Franz Liszt  ,Étude d'exécution transcendante No. 12 Chasse-neige , Franz Liszt  | Étude d'exécution transcendante No. 12 Chasse-neige ,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2023
Anton Yashkin,Russia,Ludwig van Beethoven, Moderato cantabile molto espressivo / Allegro molto / Adagio ma non troppo – Arioso dolente \\–'  Fuga. Allegro ma non troppo , Moderato cantabile molto espressivo / Allegro molto / Adagio ma non troppo – Arioso dolente \\–'  | Fuga. Allegro ma non troppo ,Sergei Rachmaninoff ," December (Christmas) from The Seasons, Op. 37-bis  "," December (Christmas) from The Seasons, Op. 37-bis  | Sergei Rachmaninoff ",Sergei Rachmaninoff ," Piano Concerto No. 2 in C minor, Op. 18  Moderato / Adagio sostenuto / Allegro scherzando"," Piano Concerto No. 2 in C minor, Op. 18  | Moderato / Adagio sostenuto / Allegro scherzando",NaN,2023
Anton Yashkin,Russia,Ludwig van Beethoven  ,"Piano Sonata No. 31 in A-flat major, Op. 110 "," Ludwig van Beethoven  | Piano Sonata No. 31 in A-flat major, Op. 110 ",Pyotr Tchaikovsky , St. François d'Assise: la prédication aux oiseaux / St. François de Paule: marchant sur les flots  , St. François d'Assise: la prédication aux oiseaux / St. François de Paule: marchant sur les flots  | Pyotr Tchaikovsky ,Sergei Rachmaninoff , Allegro non troppo e molto maestoso – Allegro con spirito / Andantino semplice – Prestissimo / Allegro con fuoco  , Allegro non troppo e molto maestoso – Allegro con spirito / Andantino semplice – Prestissimo / Allegro con fuoco  | Sergei Rachmaninoff ,NaN,2023
Anton Yashkin,Russia,Johann Sebastian Bach  ,"Prelude and Fugue in A-flat major, BWV 862, from The Well-Tempered Clavier, Book 1 ","   Johann Sebastian Bach  | Prelude and Fugue in A-flat major, BWV 862, from The Well-Tempered Clavier, Book 1 ",Franz Liszt  ,Two Legends ,  Franz Liszt  | Two Legends ,Pyotr Tchaikovsky  ,"Piano Concerto No. 1 in B-flat minor, Op. 23 ","  Pyotr Tchaikovsky  | Piano Concerto No. 1 in B-flat minor, Op. 23 ",NaN,2023
Anton Yashkin,Russia, Sergei Rachmaninoff  ,"Étude-tableau in D major, Op. 39 No. 9 "," Sergei Rachmaninoff  | Étude-tableau in D major, Op. 39 No. 9 ",NaN,NaN,NaN,NaN,NaN,NaN,NaN,2023
Anton Yashkin,Russia, Frédéric Chopin  ,"Étude in C-sharp minor, Op. 10 No. 4 "," Frédéric Chopin  | Étude in C-sharp minor, Op. 10 No. 4 ",Sergei Rachmaninoff ," Piano Sonata No. 1 in D minor, Op. 28  | Allegro moderato / Lento / Allegro molto"," Piano Sonata No. 1 in D minor, Op. 28  | Allegro moderato / Lento / Allegro molto",NaN,NaN,NaN,NaN,2023
Anton Yashkin,Russia, Pyotr Tchaikovsky  ,"Chant élégiaque, Op. 72 No. 14"," Pyotr Tchaikovsky  | Chant élégiaque, Op. 72 No. 14",NaN,NaN,NaN,NaN,NaN,NaN,NaN,2023
Bogdan Dugaliƒá,Serbia,Frédéric Chopin ," Dumka, Op. 59  "," Dumka, Op. 59  | Frédéric Chopin ", Images (Book 1)  ,Reflets dans l'eau / Hommage à Rameau / Mouvement , Images (Book 1)  | Reflets dans l'eau / Hommage à Rameau / Mouvement ,NaN,NaN,NaN,NaN,2023
Bogdan Dugaliƒá,Serbia,Franz Liszt ," Étude in B minor, Op. 25 No. 10  "," Étude in B minor, Op. 25 No. 10  | Franz Liszt ", Sergei Prokofiev  ,"Piano Sonata No. 7 in B-flat major, Op. 83 "," Sergei Prokofiev  | Piano Sonata No. 7 in B-flat major, Op. 83 ",NaN,NaN,NaN,NaN,2023
Bogdan Dugaliƒá,Serbia,Wilde Jagd  , Transcendental Etude No. 8 , Transcendental Etude No. 8 Wilde Jagd  | Sergei Rachmaninoff ,NaN,NaN, Allegro inquieto / Andante caloroso / Precipitato,NaN,NaN,NaN,NaN,2023
Bogdan Dugaliƒá,Serbia,Pyotr Tchaikovsky , Presto / Largo e mesto / Menuetto. Allegro / Rondo. Allegro  , Presto / Largo e mesto / Menuetto. Allegro / Rondo. Allegro  | Pyotr Tchaikovsky ,Claude Debussy ," February (Carnival) from The Seasons, Op. 37-bis  "," February (Carnival) from The Seasons, Op. 37-bis  | Claude Debussy ",Sergei Prokofiev ," Piano Concerto No. 2 in G minor, Op. 16  Andantino – Allegretto / Scherzo. Vivace / Intermezzo. Allegro moderato / Finale. Allegro tempestoso"," Piano Concerto No. 2 in G minor, Op. 16  | Andantino – Allegretto / Scherzo. Vivace / Intermezzo. Allegro moderato / Finale. Allegro tempestoso",NaN,2023
Bogdan Dugaliƒá,Serbia,Johann Sebastian Bach  ,"Prelude and Fugue in G minor, BWV 885, from The Well-Tempered Clavier, Book 2 ","   Johann Sebastian Bach  | Prelude and Fugue in G minor, BWV 885, from The Well-Tempered Clavier, Book 2 ",  Frédéric Chopin  ,"Piano Sonata No. 2 in B-flat minor, Op. 35 ","  Frédéric Chopin  | Piano Sonata No. 2 in B-flat minor, Op. 35 ",Pyotr Tchaikovsky  ,"Piano Concerto No. 1 in B-flat minor, Op. 23 ","  Pyotr Tchaikovsky  | Piano Concerto No. 1 in B-flat minor, Op. 23 ",NaN,2023
Bogdan Dugaliƒá,Serbia,Ludwig van Beethoven,"Piano Sonata No. 7 in D major, Op. 10 No. 3 "," Ludwig van Beethoven  | Piano Sonata No. 7 in D major, Op. 10 No. 3 ",Pyotr Tchaikovsky , Grave – Doppio movimento / Scherzo / Marche funèbre / Presto  , Grave – Doppio movimento / Scherzo / Marche funèbre / Presto  | Pyotr Tchaikovsky ,Sergei Prokofiev , Allegro non troppo e molto maestoso – Allegro con spirito / Andantino semplice – Prestissimo / Allegro con fuoco  , Allegro non troppo e molto maestoso – Allegro con spirito / Andantino semplice – Prestissimo / Allegro con fuoco  | Sergei Prokofiev ,NaN,2023
Bogdan Dugaliƒá,Serbia,Sergei Rachmaninoff ," Étude-tableau in E-flat minor, Op. 33 No. 6"," Étude-tableau in E-flat minor, Op. 33 No. 6",NaN,NaN,NaN,NaN,NaN,NaN,NaN,2023
George Harliono,United Kingdom,Pyotr Tchaikovsky , Allegro / Scherzo. Allegretto vivace / Minuet. Moderato e grazioso / Presto con fuoco  , Allegro / Scherzo. Allegretto vivace / Minuet. Moderato e grazioso / Presto con fuoco  | Pyotr Tchaikovsky , Maurice Ravel  ,Une Barque sur l'océan from Miroirs , Maurice Ravel  | Une Barque sur l'océan from Miroirs ,Pyotr Tchaikovsky ," Piano Concerto No. 1 in B-flat minor, Op. 23  Allegro non troppo e molto maestoso – Allegro con spirito / Andantino semplice – Prestissimo / Allegro con fuoco"," Piano Concerto No. 1 in B-flat minor, Op. 23  | Allegro non troppo e molto maestoso – Allegro con spirito / Andantino semplice – Prestissimo / Allegro con fuoco",2,2023
George Harliono,United Kingdom,Ludwig van Beethoven,"Piano Sonata No. 18 in E-flat major, Op. 31 No. 3 "," Ludwig van Beethoven  | Piano Sonata No. 18 in E-flat major, Op. 31 No. 3 ", Pyotr Tchaikovsky  ,"Méditation from 18 Pieces, Op. 72 No. 5 "," Pyotr Tchaikovsky  | Méditation from 18 Pieces, Op. 72 No. 5 ",Pyotr Tchaikovsky , Moderato / Adagio sostenuto / Allegro scherzando  , Moderato / Adagio sostenuto / Allegro scherzando  | Pyotr Tchaikovsky ,2,2023
George Harliono,United Kingdom,Frédéric Chopin ," Nocturne, Op. 19 No. 4  "," Nocturne, Op. 19 No. 4  | Frédéric Chopin ", Igor Stravinsky  ,Three movements from Pétrouchka , Igor Stravinsky  | Three movements from Pétrouchka ,NaN,NaN,NaN,2,2023
George Harliono,United Kingdom,Franz Liszt , Transcendental Étude No. 5 Harmonies du soir, Transcendental Étude No. 5 Harmonies du soir,NaN,NaN,NaN,NaN,NaN,NaN,2,2023
George Harliono,United Kingdom,Johann Sebastian Bach  ,"Prelude and Fugue in C minor, BWV 847, from Well-Tempered Clavier, Part 1 ","   Johann Sebastian Bach  | Prelude and Fugue in C minor, BWV 847, from Well-Tempered Clavier, Part 1 ",  Franz Schubert  ,"Fantasia in C major Wanderer, D 760 ","  Franz Schubert  | Fantasia in C major Wanderer, D 760 ",  Sergei Rachmaninoff  ,"Piano Concerto No. 2 in C minor, Op. 18 ","  Sergei Rachmaninoff  | Piano Concerto No. 2 in C minor, Op. 18 ",2,2023
George Harliono,United Kingdom,Sergei Rachmaninoff ," Étude-tableau in A minor, Op. 39 No. 6  "," Étude-tableau in A minor, Op. 39 No. 6  | Franz Liszt ",NaN,NaN,NaN,NaN,NaN,NaN,2,2023
George Harliono,United Kingdom,Sergei Rachmaninoff ," Étude in F major, Op. 10 No. 8  "," Étude in F major, Op. 10 No. 8  | Sergei Rachmaninoff ",NaN,NaN, Danse russe / Chez Pétrouchka / La Semaine grasse,NaN,NaN,NaN,2,2023
Ilya Papoyan,Russia,Johann Sebastian Bach  ,"Prelude and Fugue in E minor, BWV 879, from The Well-Tempered Clavier, Book 2 ","   Johann Sebastian Bach  | Prelude and Fugue in E minor, BWV 879, from The Well-Tempered Clavier, Book 2 ",  Robert Schumann  ,"Three Romances, Op. 28 ","  Robert Schumann  | Three Romances, Op. 28 ",Pyotr Tchaikovsky  ,"Piano Concerto No. 2 in G major, Op. 44 (composer's version) ","  Pyotr Tchaikovsky  | Piano Concerto No. 2 in G major, Op. 44 (composer's version) ",3,2023
Ilya Papoyan,Russia,Frédéric Chopin ," Vivace ma non troppo, sempre legato – Adagio espressivo / Prestissimo / Gesangvoll, mit innigster Empfindung. Andante molto cantabile ed espressivo  "," Vivace ma non troppo, sempre legato – Adagio espressivo / Prestissimo / Gesangvoll, mit innigster Empfindung. Andante molto cantabile ed espressivo  | Frédéric Chopin ",Pyotr Tchaikovsky ," Danse macabre, Op. 40 (arrangement by Vladimir Horowitz)  "," Danse macabre, Op. 40 (arrangement by Vladimir Horowitz)  | Pyotr Tchaikovsky ",Sergei Rachmaninoff ," Piano Concerto No. 3 in D minor, Op. 30  Allegro ma non tanto / Intermezzo. Adagio / Finale. Alla breve"," Piano Concerto No. 3 in D minor, Op. 30  | Allegro ma non tanto / Intermezzo. Adagio / Finale. Alla breve",3,2023
Ilya Papoyan,Russia,Sergei Rachmaninoff ," Étude in A minor, Op. 25 No. 11  "," Étude in A minor, Op. 25 No. 11  | Sergei Rachmaninoff ",Sergei Rachmaninoff ," Echo rustique (No. 13) and Chant élégiaque (No. 14) from 18 Pieces, Op. 72  "," Echo rustique (No. 13) and Chant élégiaque (No. 14) from 18 Pieces, Op. 72  | Sergei Rachmaninoff ",NaN,NaN,NaN,3,2023
Ilya Papoyan,Russia,Franz Liszt ," Étude-tableau in B minor, Op. 39 No. 4  "," Étude-tableau in B minor, Op. 39 No. 4  | Franz Liszt ",Allegro agitato / Non allegro – Lento / L'istesso tempo – Allegro molto," Piano Sonata No. 2, Op. 36 (first version)  "," Piano Sonata No. 2, Op. 36 (first version)  | Allegro agitato / Non allegro – Lento / L'istesso tempo – Allegro molto",NaN,NaN,NaN,3,2023
Ilya Papoyan,Russia,Ludwig van Beethoven  ,"Piano Sonata No. 30 in E major, Op. 109 "," Ludwig van Beethoven  | Piano Sonata No. 30 in E major, Op. 109 ",Franz Liszt,Franz Liszt, Sehr markiert / Einfach / Sehr markiert  | Camille Saint-Sa√´ns – Franz Liszt ,Sergei Rachmaninoff , Allegro brillante e molto vivace / Andante non troppo / Allegro con fuoco  , Allegro brillante e molto vivace / Andante non troppo / Allegro con fuoco  | Sergei Rachmaninoff ,3,2023
Ilya Papoyan,Russia,Pyotr Tchaikovsky ,Variations in F major Op.19 No.6," Theme and Variations, Op. 19 ‚Ññ 6",NaN,NaN,NaN,NaN,NaN,NaN,3,2023
Ilya Papoyan,Russia,Pyotr Tchaikovsky , Étude No. 6 in A minor from Grandes études de Paganini  , Étude No. 6 in A minor from Grandes études de Paganini  | Pyotr Tchaikovsky ,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2023
Koki Kuroiwa,Japan,Joseph Haydn ,"Piano Sonata in B minor, Hob.XVI:32 "," Joseph Haydn  | Piano Sonata in B minor, Hob.XVI:32 ",Alexander Scriabin,Alexander Scriabin," Alexander Scriabin  | Fantaisie in B minor, Op. 28 ",Sergei Rachmaninoff , Allegro non troppo e molto maestoso – Allegro con spirito / Andantino semplice – Prestissimo / Allegro con fuoco  , Allegro non troppo e molto maestoso – Allegro con spirito / Andantino semplice – Prestissimo / Allegro con fuoco  | Sergei Rachmaninoff ,NaN,2023
Koki Kuroiwa,Japan, Franz Liszt  ,Étude No. 3 La campanella from Grandes études de Paganini , Franz Liszt  | Étude No. 3 La campanella from Grandes études de Paganini ,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2023
Koki Kuroiwa,Japan, Sergei Rachmaninoff  ,"Étude-tableau in D major, Op. 39 No. 9"," Sergei Rachmaninoff  | Étude-tableau in D major, Op. 39 No. 9",NaN,NaN,NaN,NaN,NaN,NaN,NaN,2023
Koki Kuroiwa,Japan,Johann Sebastian Bach  ,"Prelude and Fugue in B major BWV 892, No. 23 from The Well-Tempered Clavier, Book 2 ","   Johann Sebastian Bach  | Prelude and Fugue in B major BWV 892, No. 23 from The Well-Tempered Clavier, Book 2 ",  Pyotr Tchaikovsky – Mikhail Pletnev  ,Concert Suite from The Nutcracker ,  Pyotr Tchaikovsky – Mikhail Pletnev  | Concert Suite from The Nutcracker ,Pyotr Tchaikovsky  ,"Piano Concerto No. 1 in B-flat minor, Op. 23 ","  Pyotr Tchaikovsky  | Piano Concerto No. 1 in B-flat minor, Op. 23 ",NaN,2023
Koki Kuroiwa,Japan,Pyotr Tchaikovsky , Allegro moderato / Menuet / Finale. Presto  , Allegro moderato / Menuet / Finale. Presto  | Pyotr Tchaikovsky , Mily Balakirev  ,Nocturne No. 3 in D minor , Mily Balakirev  | Nocturne No. 3 in D minor ,Sergei Rachmaninoff ," Piano Concerto No. 3 in D minor, Op. 30  Allegro ma non tanto / Intermezzo. Adagio / Finale. Alla breve"," Piano concerto No. 3 in D minor, Op. 30  | Allegro ma non tanto / Intermezzo. Adagio / Finale. Alla breve",NaN,2023
Koki Kuroiwa,Japan," Dumka, Op. 59  ","November (On the Troika) from The Seasons, Op. 37-bis "," Dumka, Op. 59  | November (On the Troika) from The Seasons, Op. 37-bis ", Sergei Rachmaninoff  ,"Piano Sonata No. 2 in B-flat minor, Op. 36 "," Sergei Rachmaninoff  | Piano Sonata No. 2 in B-flat minor, Op. 36 ",NaN,NaN,NaN,NaN,2023
Koki Kuroiwa,Japan, Frédéric Chopin  ,"Étude in E minor, Op. 25 No. 5 "," Frédéric Chopin  | Étude in E minor, Op. 25 No. 5 ",NaN,NaN, Allegro agitato / Non allegro – Lento / L'istesso tempo – Allegro molto,NaN,NaN,NaN,NaN,2023
Konstantin Khachikyan,Russia,Franz Liszt ," Étude in G-sharp minor, Op. 25 No. 6  "," Étude in G-sharp minor, Op. 25 No. 6  | Franz Liszt ",Maurice Ravel ," Variations on a Theme of Corelli, Op. 42  "," Variations on a Theme of Corelli, Op. 42  | Maurice Ravel ",NaN,NaN,NaN,NaN,2023
