Participant Name,Participant Country,Round I Pieces,Round II Pieces,Round III Pieces,Pieces
Andrejs Osokins,Latvia,"J.S. Bach. Prélude and Fugue in E-flat minor, Well-Tempered Clavier, Book 1,BWV 853, 8', 'Pyotr Tchaikovsky. ""Humoresque"", Op. 10, 2; Romance, Op. 5', 'Sergei Rachmaninov. Étude-tableau in E-flat minor, Op. 33, 6', 'Franz Liszt. Étude 2in E-flat major from the Grandes Études de Paganini, S.141', 'Frédéric Chopin. Étude in A minor, Op. 10, 2', 'Ludwig van Beethoven. Piano Sonata 32 in C minor, Op. 111', ","Joseph Haydn. Piano Sonata in E minor, Hob. XVI/34', 'Stage 1', 'Jean Sibelius. ""Valse triste"", Op. 44', 'Maurice Ravel. ""Gaspard de la nuit"" for piano: ""Ondine"", ""Le gibet"", ""Scarbo""', 'Richard Wagner-Franz Liszt. ""Liebestod"", S. 447', 'Sergei Prokofiev. Piano Sonata 7 in B-flat major, Op. 83', 'Stage 2', 'W.A. Mozart. Piano Concerto 12 in A major, K. 414', ","'Pyotr Tchaikovsky. Piano Concerto 1 in B-flat minor, Op. 23', 'Sergei Prokofiev. Piano Concerto 3 in C major, Op. 26']","['Round I', 'J.S. Bach. Prélude and Fugue in E-flat minor, Well-Tempered Clavier, Book 1,BWV 853, 8', 'Pyotr Tchaikovsky. ""Humoresque"", Op. 10, 2; Romance, Op. 5', 'Sergei Rachmaninov. Étude-tableau in E-flat minor, Op. 33, 6', 'Franz Liszt. Étude 2in E-flat major from the Grandes Études de Paganini, S.141', 'Frédéric Chopin. Étude in A minor, Op. 10, 2', 'Ludwig van Beethoven. Piano Sonata 32 in C minor, Op. 111', 'Round II', 'Joseph Haydn. Piano Sonata in E minor, Hob. XVI/34', 'Stage 1', 'Jean Sibelius. ""Valse triste"", Op. 44', 'Maurice Ravel. ""Gaspard de la nuit"" for piano: ""Ondine"", ""Le gibet"", ""Scarbo""', 'Richard Wagner-Franz Liszt. ""Liebestod"", S. 447', 'Sergei Prokofiev. Piano Sonata 7 in B-flat major, Op. 83', 'Stage 2', 'W.A. Mozart. Piano Concerto 12 in A major, K. 414', 'Round III', 'Pyotr Tchaikovsky. Piano Concerto 1 in B-flat minor, Op. 23', 'Sergei Prokofiev. Piano Concerto 3 in C major, Op. 26']"
Alexei Petrov,Russia,"Johann S. Bach. Prélude and Fugue in E major, Well-Tempered Clavier, Book 2,BWV 878', 'Frédéric Chopin. Étude in F major, Op. 10,8', 'Sergei Rachmaninov. Étude-tableau in E-flat minor, Op. 39,5', 'Franz Liszt. Étude Wilde Jagd from Transcendental Études, S. 139,8', 'Ludwig van Beethoven. Sonata 3 in C major, Op. 2,3', 'Pyotr Tchaikovsky. Dumka, Op. 59', ","Mily Balakirev. Scherzo 3 in F-sharp major', 'Stage 1', 'Sergei Rachmaninov. Étude-tableau in C-sharp minor, Op. 33,9;', 'Étude-tableau in A minor, Op. 39,2; Polka de W.R.', 'Sergei Prokofev. Intermezzo, Étude and Scherzo from Op. 52,1, 3 and 6', 'Alexander Scriabin. Sonata 10, Op. 70', 'Dmitri Kabalevsky. Sonata 3 in F major, Op. 4', 'Stage 2', 'Wolfgang A. Mozart. Piano Concerto 12 in A major, K. 414', ","'Pyotr Tchaikovsky. Piano Concerto 1 in B-flat minor, Op. 23', 'Sergei Prokofiev. Piano Concerto 3 in C major, Op. 26']","['Round I', 'Johann S. Bach. Prélude and Fugue in E major, Well-Tempered Clavier, Book 2,BWV 878', 'Frédéric Chopin. Étude in F major, Op. 10,8', 'Sergei Rachmaninov. Étude-tableau in E-flat minor, Op. 39,5', 'Franz Liszt. Étude Wilde Jagd from Transcendental Études, S. 139,8', 'Ludwig van Beethoven. Sonata 3 in C major, Op. 2,3', 'Pyotr Tchaikovsky. Dumka, Op. 59', 'Round II', 'Mily Balakirev. Scherzo 3 in F-sharp major', 'Stage 1', 'Sergei Rachmaninov. Étude-tableau in C-sharp minor, Op. 33,9;', 'Étude-tableau in A minor, Op. 39,2; Polka de W.R.', 'Sergei Prokofev. Intermezzo, Étude and Scherzo from Op. 52,1, 3 and 6', 'Alexander Scriabin. Sonata 10, Op. 70', 'Dmitri Kabalevsky. Sonata 3 in F major, Op. 4', 'Stage 2', 'Wolfgang A. Mozart. Piano Concerto 12 in A major, K. 414', 'Round III', 'Pyotr Tchaikovsky. Piano Concerto 1 in B-flat minor, Op. 23', 'Sergei Prokofiev. Piano Concerto 3 in C major, Op. 26']"
Sangyoung Kim,South Korea,"Johann S. Bach. Prélude and Fugue in B major, Well-Tempered Clavier, Book 2,BWV 892, 23', 'Joseph Haydn. Piano Sonata in C minor, Hob. XVI/20', 'Pyotr Tchaikovsky. Nocturne in C-sharp minor, Op. 19, 4', 'Pyotr Tchaikovsky. Grand Piano Sonata in G major, Op. 37a, frst movement,Moderato e risoluto', 'Sergei Rachmaninov. Étude-tableau in F-sharp minor, Op. 39, 3', 'Frédéric Chopin. Étude in G-sharp minor, op. 25, 6', 'Franz Liszt. Étude in A major from the Grandes Études de, S. 141, 6', ","Carl Czerny. Variations on a Theme by Rode (""La Ricordanza""), Op. 33', 'Stage 1', 'Alexander Scriabin. Piano Sonata 5 in F-sharp major, Op. 53', 'Ludwig van Beethoven. 15 Variations and Fugue on the contradance theme fromthe ballet ""The Creatures of Prometheus"" (""Eroica Variations""), Op. 35', 'Pyotr Tchaikovsky. Scherzo from Symphony 6 (""Pathétique"") transcribed for pianoby Samuel Feinberg', 'Stage 2', 'W.A. Mozart. Piano Concerto 23 in A major, K. 488', ","'W.A. Mozart. Piano Concerto 23 in A major, K. 488', 'Pyotr Tchaikovsky. Piano Concerto 1 in B-flat minor, Op. 23', 'Sergei Prokofiev. Piano Concerto 2 in G minor, Op. 16']","['Round I', 'Johann S. Bach. Prélude and Fugue in B major, Well-Tempered Clavier, Book 2,BWV 892, 23', 'Joseph Haydn. Piano Sonata in C minor, Hob. XVI/20', 'Pyotr Tchaikovsky. Nocturne in C-sharp minor, Op. 19, 4', 'Pyotr Tchaikovsky. Grand Piano Sonata in G major, Op. 37a, frst movement,Moderato e risoluto', 'Sergei Rachmaninov. Étude-tableau in F-sharp minor, Op. 39, 3', 'Frédéric Chopin. Étude in G-sharp minor, op. 25, 6', 'Franz Liszt. Étude in A major from the Grandes Études de, S. 141, 6', 'Round II', 'Carl Czerny. Variations on a Theme by Rode (""La Ricordanza""), Op. 33', 'Stage 1', 'Alexander Scriabin. Piano Sonata 5 in F-sharp major, Op. 53', 'Ludwig van Beethoven. 15 Variations and Fugue on the contradance theme fromthe ballet ""The Creatures of Prometheus"" (""Eroica Variations""), Op. 35', 'Pyotr Tchaikovsky. Scherzo from Symphony 6 (""Pathétique"") transcribed for pianoby Samuel Feinberg', 'Stage 2', 'W.A. Mozart. Piano Concerto 23 in A major, K. 488', 'Round III', 'W.A. Mozart. Piano Concerto 23 in A major, K. 488', 'Pyotr Tchaikovsky. Piano Concerto 1 in B-flat minor, Op. 23', 'Sergei Prokofiev. Piano Concerto 2 in G minor, Op. 16']"
Dinara Klinton,Russia,"Johann S. Bach. Prélude and Fugue in C major, Well-Tempered Clavier, Book 1,BWV 846', 'Ludwig van Beethoven. Sonata 24 in F-sharp major, Op. 78', 'Frédéric Chopin. Étude in A minor, Op. 10,2', 'Pyotr Tchaikovsky. Nocturne and Humoresque, Op. 10; Valse sentimentale,Op. 51,6; Méditation, Op. 72,5', 'Sergei Rachmaninov. Étude-tableau in A minor, Op. 39,6', 'Franz Liszt. Feux follets from Transcendental Études, S. 139,5', ","Sergei Prokofev. Sarcasms, Op. 17', 'Stage 1', 'Franz Liszt. from Transcendental Études: Preludio, Molto vivace, Paysage,Mazeppa, Vision, Wilde Jagd, Allegro agitato molto, Harmonies du soir andChasse-Neige, S. 139/1, 2, 3, 4, 6, 8, 10, 11 and 12', 'Stage 2', 'Wolfgang A. Mozart. Piano Concerto 21 in C major, K. 467', ","'Pyotr Tchaikovsky. Piano Concerto 1 in B-flat minor, Op. 23', 'Sergei Rachmaninov. Piano Concerto 3 in D minor, Op. 30']","['Round I', 'Johann S. Bach. Prélude and Fugue in C major, Well-Tempered Clavier, Book 1,BWV 846', 'Ludwig van Beethoven. Sonata 24 in F-sharp major, Op. 78', 'Frédéric Chopin. Étude in A minor, Op. 10,2', 'Pyotr Tchaikovsky. Nocturne and Humoresque, Op. 10; Valse sentimentale,Op. 51,6; Méditation, Op. 72,5', 'Sergei Rachmaninov. Étude-tableau in A minor, Op. 39,6', 'Franz Liszt. Feux follets from Transcendental Études, S. 139,5', 'Round II', 'Sergei Prokofev. Sarcasms, Op. 17', 'Stage 1', 'Franz Liszt. from Transcendental Études: Preludio, Molto vivace, Paysage,Mazeppa, Vision, Wilde Jagd, Allegro agitato molto, Harmonies du soir andChasse-Neige, S. 139/1, 2, 3, 4, 6, 8, 10, 11 and 12', 'Stage 2', 'Wolfgang A. Mozart. Piano Concerto 21 in C major, K. 467', 'Round III', 'Pyotr Tchaikovsky. Piano Concerto 1 in B-flat minor, Op. 23', 'Sergei Rachmaninov. Piano Concerto 3 in D minor, Op. 30']"
Nikita Abrosimov,Russia,"Johann S. Bach. Prélude and Fugue in E minor, Well-Tempered Clavier, Book 2,BWV 879', 'Ludwig van Beethoven. Sonata 15 in D major, Op. 28', 'Frédéric Chopin. Étude in C-sharp minor, Op. 10,4', 'Sergei Rachmaninov. Étude-tableau in C minor, Op. 39,1', 'Pyotr Tchaikovsky. Adagio from Sleeping Beauty (transcription by MikhailPletnev)', 'Franz Liszt. Mazeppa from Transcendental Études, S. 139,4', ","'Sergei Rachmaninov. Variations on a Theme of Corelli in D minor, Op. 42', 'Stage 1', 'Sergei Prokofiev. Sonata 8 in B-flat major, Op. 84', 'Stage 2', 'Wolfgang A. Mozart. Piano Concerto 27 in B-flat major, K. 595', ","'Pyotr Tchaikovsky. Piano Concerto 1 in B-flat minor, Op. 23', 'Sergei Prokofiev. Piano Concerto 2 in G minor, Op. 16']","['Round I', 'Johann S. Bach. Prélude and Fugue in E minor, Well-Tempered Clavier, Book 2,BWV 879', 'Ludwig van Beethoven. Sonata 15 in D major, Op. 28', 'Frédéric Chopin. Étude in C-sharp minor, Op. 10,4', 'Sergei Rachmaninov. Étude-tableau in C minor, Op. 39,1', 'Pyotr Tchaikovsky. Adagio from Sleeping Beauty (transcription by MikhailPletnev)', 'Franz Liszt. Mazeppa from Transcendental Études, S. 139,4', 'Round II', 'Sergei Rachmaninov. Variations on a Theme of Corelli in D minor, Op. 42', 'Stage 1', 'Sergei Prokofiev. Sonata 8 in B-flat major, Op. 84', 'Stage 2', 'Wolfgang A. Mozart. Piano Concerto 27 in B-flat major, K. 595', 'Round III', 'Pyotr Tchaikovsky. Piano Concerto 1 in B-flat minor, Op. 23', 'Sergei Prokofiev. Piano Concerto 2 in G minor, Op. 16']"
Mikhail Berestnev,Russia,"Johann S. Bach. Prélude and Fugue in A minor, Well-Tempered Clavier, Book 2,BWV 889', 'Joseph Haydn. Sonata in D major, Hob. XVI/33', 'Pyotr Tchaikovsky. 6 Pieces op. 19,6: Theme and Variations in F major, Andantecon moto', 'Sergei Rachmaninov. Étude-tableau in B minor, Op. 39,4', 'Frédéric Chopin. Étude in C minor, op. 25,12', 'Franz Liszt. Étude Wilde Jagd from Transcendental Études, S. 139,8', ","Béla Bartók. Sonata, BB 88 (Sz. 80)', 'Stage 1', 'Johannes Brahms. Variations and Fugue on a Theme of Handel in B-flat major,Op.24', 'Toru Takemitsu. Rain Tree Sketch No.2 (in memory of Olivier Messiaen)', 'Alexander Scriabin. Sonata 5 in F-sharp major, Op. 53', 'Stage 2', 'Wolfgang A. Mozart. Piano Concerto 27 in B-flat major, K. 595', ","'Pyotr Tchaikovsky. Piano Concerto 1 in B-flat minor, Op. 23', 'Sergei Prokofiev. Piano Concerto 3 in C major, Op. 26']","['Round I', 'Johann S. Bach. Prélude and Fugue in A minor, Well-Tempered Clavier, Book 2,BWV 889', 'Joseph Haydn. Sonata in D major, Hob. XVI/33', 'Pyotr Tchaikovsky. 6 Pieces op. 19,6: Theme and Variations in F major, Andantecon moto', 'Sergei Rachmaninov. Étude-tableau in B minor, Op. 39,4', 'Frédéric Chopin. Étude in C minor, op. 25,12', 'Franz Liszt. Étude Wilde Jagd from Transcendental Études, S. 139,8', 'Round II', 'Béla Bartók. Sonata, BB 88 (Sz. 80)', 'Stage 1', 'Johannes Brahms. Variations and Fugue on a Theme of Handel in B-flat major,Op.24', 'Toru Takemitsu. Rain Tree Sketch No.2 (in memory of Olivier Messiaen)', 'Alexander Scriabin. Sonata 5 in F-sharp major, Op. 53', 'Stage 2', 'Wolfgang A. Mozart. Piano Concerto 27 in B-flat major, K. 595', 'Round III', 'Pyotr Tchaikovsky. Piano Concerto 1 in B-flat minor, Op. 23', 'Sergei Prokofiev. Piano Concerto 3 in C major, Op. 26']"
Asiya Korepanova,Russia,"Johann S. Bach. Prélude and Fugue in E-flat major, Well-Tempered Clavier, Book1, BWV 852', 'Ludwig van Beethoven. Sonata 16 in G major, Op. 31,1', 'Pyotr Tchaikovsky. Méditation, Op. 72, 5', 'Frédéric Chopin. Étude in C major, Op. 10,1', 'Sergei Rachmaninov. Étude-tableau in C minor, Op. 39,7', 'Franz Liszt. Mazeppa from Transcendental Études', ","'Maurice Ravel. Gaspard de la Nuit', 'Stage 1', 'Sergei Rachmaninov. Sonata 1 in D minor, Op.28', 'Stage 2', 'Wolfgang A. Mozart. Piano Concerto 12 in A major, K. 414', ","'Pyotr Tchaikovsky. Piano Concerto 1 in B-flat minor, Op. 23', 'Sergei Prokofiev. Piano Concerto 2 in G minor, Op. 16']","['Round I', 'Johann S. Bach. Prélude and Fugue in E-flat major, Well-Tempered Clavier, Book1, BWV 852', 'Ludwig van Beethoven. Sonata 16 in G major, Op. 31,1', 'Pyotr Tchaikovsky. Méditation, Op. 72, 5', 'Frédéric Chopin. Étude in C major, Op. 10,1', 'Sergei Rachmaninov. Étude-tableau in C minor, Op. 39,7', 'Franz Liszt. Mazeppa from Transcendental Études', 'Round II', 'Maurice Ravel. Gaspard de la Nuit', 'Stage 1', 'Sergei Rachmaninov. Sonata 1 in D minor, Op.28', 'Stage 2', 'Wolfgang A. Mozart. Piano Concerto 12 in A major, K. 414', 'Round III', 'Pyotr Tchaikovsky. Piano Concerto 1 in B-flat minor, Op. 23', 'Sergei Prokofiev. Piano Concerto 2 in G minor, Op. 16']"
Andrei Korobeinikov,Russia,"Johann S. Bach. Prélude and Fugue in B major, Well-Tempered Clavier, Book 1,BWV 868', 'Pyotr Tchaikovsky. February/Carnival from The Seasons Op.37,2', 'Sergei Rachmaninov. Étude-tableau in F-sharp minor, Op. 39,3', 'Frédéric Chopin. Étude in G-sharp minor, op. 25,6', 'Franz Liszt. Étude La Campanella in G-sharp minor from Grandes Études dePaganini, S. 141,3', 'Ludwig van Beethoven. Sonata 32 in C minor, Op. 111', ","Sergei Prokofiev. Sonata 8 in B-flat major, Op. 84', 'Stage 1', 'Johann S. Bach – Wilhelm Kempff. Siciliana from Sonata 2 for flute,BWV 1031', 'Dmitri Shostakovich. Sonata 2, Op. 61', 'Stage 2', 'Wolfgang A. Mozart. Piano Concerto 20 in D minor, K. 466', ","'Pyotr Tchaikovsky. Piano Concerto 1 in B-flat minor, Op. 23', 'Sergei Prokofiev. Piano Concerto 3 in C major, Op. 26']","['Round I', 'Johann S. Bach. Prélude and Fugue in B major, Well-Tempered Clavier, Book 1,BWV 868', 'Pyotr Tchaikovsky. February/Carnival from The Seasons Op.37,2', 'Sergei Rachmaninov. Étude-tableau in F-sharp minor, Op. 39,3', 'Frédéric Chopin. Étude in G-sharp minor, op. 25,6', 'Franz Liszt. Étude La Campanella in G-sharp minor from Grandes Études dePaganini, S. 141,3', 'Ludwig van Beethoven. Sonata 32 in C minor, Op. 111', 'Round II', 'Sergei Prokofiev. Sonata 8 in B-flat major, Op. 84', 'Stage 1', 'Johann S. Bach – Wilhelm Kempff. Siciliana from Sonata 2 for flute,BWV 1031', 'Dmitri Shostakovich. Sonata 2, Op. 61', 'Stage 2', 'Wolfgang A. Mozart. Piano Concerto 20 in D minor, K. 466', 'Round III', 'Pyotr Tchaikovsky. Piano Concerto 1 in B-flat minor, Op. 23', 'Sergei Prokofiev. Piano Concerto 3 in C major, Op. 26']"
Julia Kociuban,Poland,"Johann S. Bach. Prélude and Fugue in A minor, The Well-Tempered Clavier,Book 2, BWV 889, 20', 'Ludwig van Beethoven. Piano Sonata 13 in E-flat major(""Sonata quasi una fantasia""), Op. 27, 1', 'Pyotr Tchaikovsky. ""Méditation"", Op. 72, Nos. 5', 'Frédéric Chopin. Ballade 1 in G minor, Op. 23', 'Frédéric Chopin. Étude in A minor, Op. 25, 11', 'Franz Liszt. Étude in A minor from the Grandes étudesde Paganini, S. 141, 6', 'Sergei Rachmaninov. Étude-tableau in C minor, Op. 39, 1', ","Gra_yna Bacewicz. Piano Sonata 2', 'Stage 1', 'Frédéric Chopin. Piano Sonata 3 in B minor, Op. 58', 'Sergei Prokofiev. Piano Sonata 7 in B-flat major, Op. 83', 'Stage 2', 'Wolfgang A. Mozart. Piano Concerto 23 in A major, K. 488', ","'Pyotr Tchaikovsky. Piano Concerto 1 in B-flat minor, Op. 23', 'Frédéric Chopin. Piano Concerto 2 in F minor, Op.21']","['Round I', 'Johann S. Bach. Prélude and Fugue in A minor, The Well-Tempered Clavier,Book 2, BWV 889, 20', 'Ludwig van Beethoven. Piano Sonata 13 in E-flat major(""Sonata quasi una fantasia""), Op. 27, 1', 'Pyotr Tchaikovsky. ""Méditation"", Op. 72, Nos. 5', 'Frédéric Chopin. Ballade 1 in G minor, Op. 23', 'Frédéric Chopin. Étude in A minor, Op. 25, 11', 'Franz Liszt. Étude in A minor from the Grandes étudesde Paganini, S. 141, 6', 'Sergei Rachmaninov. Étude-tableau in C minor, Op. 39, 1', 'Round II', 'Gra_yna Bacewicz. Piano Sonata 2', 'Stage 1', 'Frédéric Chopin. Piano Sonata 3 in B minor, Op. 58', 'Sergei Prokofiev. Piano Sonata 7 in B-flat major, Op. 83', 'Stage 2', 'Wolfgang A. Mozart. Piano Concerto 23 in A major, K. 488', 'Round III', 'Pyotr Tchaikovsky. Piano Concerto 1 in B-flat minor, Op. 23', 'Frédéric Chopin. Piano Concerto 2 in F minor, Op.21']"
Maria Mazo,Germany,"Johann S. Bach. Prélude and Fugue in G-sharp minor, Well-Tempered Clavier,Book 1, BWV 863', 'Ludwig van Beethoven. Sonata 23 in F minor, Op. 57', 'Frédéric Chopin. Étude in C minor, Op. 10,12', 'Franz Liszt. Étude 2 in E-flat major from Grandes Études de Paganini, S.141', 'Sergei Rachmaninov. Étude-tableau in E-flat minor, Op. 33,6', 'Pyotr Tchaikovsky. Dumka, Op. 59', ","Alexander Scriabin. Sonata 4 in F-sharp major, Op. 30', 'Stage 1', 'Igor Stravinsky. Danse infernale de tous les sujets de Kachtcheï, Berceuse, andFinale from The Firebird (transcribed for piano by Guido Agosti)', 'Ludwig van Beethoven. Sonata 29 in B-flat major (Hammerklavier), Op. 106', 'Stage 2', 'Wolfgang A. Mozart. Piano Concerto 21 in C major, K. 467', ","'Pyotr Tchaikovsky. Piano Concerto 1 in B-flat minor, Op. 23', 'Sergei Prokofiev. Piano Concerto 2 in G minor, Op. 16']","['Round I', 'Johann S. Bach. Prélude and Fugue in G-sharp minor, Well-Tempered Clavier,Book 1, BWV 863', 'Ludwig van Beethoven. Sonata 23 in F minor, Op. 57', 'Frédéric Chopin. Étude in C minor, Op. 10,12', 'Franz Liszt. Étude 2 in E-flat major from Grandes Études de Paganini, S.141', 'Sergei Rachmaninov. Étude-tableau in E-flat minor, Op. 33,6', 'Pyotr Tchaikovsky. Dumka, Op. 59', 'Round II', 'Alexander Scriabin. Sonata 4 in F-sharp major, Op. 30', 'Stage 1', 'Igor Stravinsky. Danse infernale de tous les sujets de Kachtcheï, Berceuse, andFinale from The Firebird (transcribed for piano by Guido Agosti)', 'Ludwig van Beethoven. Sonata 29 in B-flat major (Hammerklavier), Op. 106', 'Stage 2', 'Wolfgang A. Mozart. Piano Concerto 21 in C major, K. 467', 'Round III', 'Pyotr Tchaikovsky. Piano Concerto 1 in B-flat minor, Op. 23', 'Sergei Prokofiev. Piano Concerto 2 in G minor, Op. 16']"
Nikolay Medvedev,Russia,"Johann S. Bach. Prélude and Fugue in A-flat major, Well-Tempered Clavier,Book 2, BWV 886', 'Joseph Haydn. Sonata in D major, Hob. XVI/24', 'Frédéric Chopin. Étude in A minor, Op. 25,11', 'Franz Liszt. Étude Wilde Jagd from Transcendental Études, S. 139', 'Sergei Rachmaninov. Étude-tableau in E-flat minor, Op. 39,5', 'Pyotr Tchaikovsky. Grand Sonata in G major, Op. 37a, 2nd movement, Andante', ","Sergei Prokofiev. Sonata 6 in A major, Op. 82', 'Stage 1', 'Claude Debussy. Des Pas sur la Neige and Feux d'Artifce from the 24 Préludes for piano, L. 117,6; L. 123,12', 'Franz Liszt ‚Äî Feruccio Busoni. Réminiscences de Don Juanbased on Mozart's opera', 'Stage 2', 'Wolfgang A. Mozart. Piano Concerto 20 in D minor, K. 466', ","'Pyotr Tchaikovsky. Piano Concerto 1 in B-flat minor, Op. 23', 'Sergei Rachmaninov. Piano Concerto 3 in D minor, Op. 30']","['Round I', 'Johann S. Bach. Prélude and Fugue in A-flat major, Well-Tempered Clavier,Book 2, BWV 886', 'Joseph Haydn. Sonata in D major, Hob. XVI/24', 'Frédéric Chopin. Étude in A minor, Op. 25,11', 'Franz Liszt. Étude Wilde Jagd from Transcendental Études, S. 139', 'Sergei Rachmaninov. Étude-tableau in E-flat minor, Op. 39,5', 'Pyotr Tchaikovsky. Grand Sonata in G major, Op. 37a, 2nd movement, Andante', 'Round II', 'Sergei Prokofiev. Sonata 6 in A major, Op. 82', 'Stage 1', 'Claude Debussy. Des Pas sur la Neige and Feux d'Artifce from the 24 Préludes for piano, L. 117,6; L. 123,12', 'Franz Liszt ‚Äî Feruccio Busoni. Réminiscences de Don Juanbased on Mozart's opera', 'Stage 2', 'Wolfgang A. Mozart. Piano Concerto 20 in D minor, K. 466', 'Round III', 'Pyotr Tchaikovsky. Piano Concerto 1 in B-flat minor, Op. 23', 'Sergei Rachmaninov. Piano Concerto 3 in D minor, Op. 30']"
Dmitry Onishchenko,Russia,"Johann S. Bach. Prélude and Fugue in C-sharp minor, Well-Tempered Clavier,Book 2, BWV 873', 'Wolfgang A. Mozart. Sonata 8 in A minor, K. 310', 'Frédéric Chopin. Étude in A minor, Op. 25,11', 'Franz Liszt. Chasse-Neige from Transcendental Études, S. 139,12', 'Sergei Rachmaninov. Étude-tableau in E-flat minor, Op. 39,5', 'Pyotr Tchaikovsky. December: Christmas from The Seasons Op.37,12', ","Johann S. Bach – Ferruccio Busoni. Chaconne from the Partita No.2 for violinin D minor, BWV 1004', 'Stage 1', 'Johannes Brahms. Variations on a Theme of Paganini, Op. 35', 'Sergei Rachmaninov. Six moments musicaux, Op. 16', 'Stage 2', 'Wolfgang A. Mozart. Piano Concerto 9 in E-flat major, K. 271', ","'Pyotr Tchaikovsky. Piano Concerto 1 in B-flat minor, Op. 23', 'Sergei Rachmaninov. Piano Concerto 3 in D minor, Op. 30']","['Round I', 'Johann S. Bach. Prélude and Fugue in C-sharp minor, Well-Tempered Clavier,Book 2, BWV 873', 'Wolfgang A. Mozart. Sonata 8 in A minor, K. 310', 'Frédéric Chopin. Étude in A minor, Op. 25,11', 'Franz Liszt. Chasse-Neige from Transcendental Études, S. 139,12', 'Sergei Rachmaninov. Étude-tableau in E-flat minor, Op. 39,5', 'Pyotr Tchaikovsky. December: Christmas from The Seasons Op.37,12', 'Round II', 'Johann S. Bach – Ferruccio Busoni. Chaconne from the Partita No.2 for violinin D minor, BWV 1004', 'Stage 1', 'Johannes Brahms. Variations on a Theme of Paganini, Op. 35', 'Sergei Rachmaninov. Six moments musicaux, Op. 16', 'Stage 2', 'Wolfgang A. Mozart. Piano Concerto 9 in E-flat major, K. 271', 'Round III', 'Pyotr Tchaikovsky. Piano Concerto 1 in B-flat minor, Op. 23', 'Sergei Rachmaninov. Piano Concerto 3 in D minor, Op. 30']"
Ilya Rashkovsky,Russia,"Johann S. Bach. Prélude and Fugue in E-flat minor, Well-Tempered Clavier, Book1, BWV 853', 'Ludwig van Beethoven. Sonata 32 in C minor, Op. 111', 'Sergei Rachmaninov. Étude-tableau in C major, Op. 33,2', 'Franz Liszt. Chasse-Neige from Transcendental Études, S. 139,12', 'Pyotr Tchaikovsky. April: Snowdrop from The Seasons Op.37,4', 'Frédéric Chopin. Étude in C minor, op. 25,12', ","'Robert Schumann. Phantasie in C major, Op. 17', 'Stage 1', 'Alexander Scriabin. Sonata 10, Op. 70', 'Alexander Scriabin. Sonata 5 in F-sharp major, Op. 53', 'Stage 2', 'Wolfgang A. Mozart. Piano Concerto 27 in B-flat major, K. 595', ","'Pyotr Tchaikovsky. Piano Concerto 1 in B-flat minor, Op. 23', 'Sergei Prokofiev. Piano Concerto 2 in G minor, Op. 16']","['Round I', 'Johann S. Bach. Prélude and Fugue in E-flat minor, Well-Tempered Clavier, Book1, BWV 853', 'Ludwig van Beethoven. Sonata 32 in C minor, Op. 111', 'Sergei Rachmaninov. Étude-tableau in C major, Op. 33,2', 'Franz Liszt. Chasse-Neige from Transcendental Études, S. 139,12', 'Pyotr Tchaikovsky. April: Snowdrop from The Seasons Op.37,4', 'Frédéric Chopin. Étude in C minor, op. 25,12', 'Round II', 'Robert Schumann. Phantasie in C major, Op. 17', 'Stage 1', 'Alexander Scriabin. Sonata 10, Op. 70', 'Alexander Scriabin. Sonata 5 in F-sharp major, Op. 53', 'Stage 2', 'Wolfgang A. Mozart. Piano Concerto 27 in B-flat major, K. 595', 'Round III', 'Pyotr Tchaikovsky. Piano Concerto 1 in B-flat minor, Op. 23', 'Sergei Prokofiev. Piano Concerto 2 in G minor, Op. 16']"
Emanuel Rimoldi,Italy,"Johann S. Bach. Prélude and Fugue in B-flat minor, Well-Tempered Clavier, Book1, BWV 867', 'Wolfgang A. Mozart. Sonata 8 in A minor, K. 310', 'Pyotr Tchaikovsky. Theme and Variations in F major, Op. 19,6', 'Frédéric Chopin. Étude in B minor, op. 25,10', 'Sergei Rachmaninov. Étude-tableau in A minor, Op. 39,6', 'Franz Liszt. Chasse-Neige from Transcendental Études, S. 139,12', ","'Alexander Scriabin. Fantasie in B minor, Op. 28', 'Stage 1', 'Robert Schumann. Humoreske, Op. 20', 'Sergei Prokofiev. Piano Concerto 3 in C minor, Op. 29', 'Stage 2', 'Wolfgang A. Mozart. Piano Concerto 21 in C major, K. 467', ","'Johannes Brahms. Piano Concerto 1 in D minor, Op. 15', 'Pyotr Tchaikovsky. Piano Concerto 1 in B-flat minor, Op. 23']","['Round I', 'Johann S. Bach. Prélude and Fugue in B-flat minor, Well-Tempered Clavier, Book1, BWV 867', 'Wolfgang A. Mozart. Sonata 8 in A minor, K. 310', 'Pyotr Tchaikovsky. Theme and Variations in F major, Op. 19,6', 'Frédéric Chopin. Étude in B minor, op. 25,10', 'Sergei Rachmaninov. Étude-tableau in A minor, Op. 39,6', 'Franz Liszt. Chasse-Neige from Transcendental Études, S. 139,12', 'Round II', 'Alexander Scriabin. Fantasie in B minor, Op. 28', 'Stage 1', 'Robert Schumann. Humoreske, Op. 20', 'Sergei Prokofiev. Piano Concerto 3 in C minor, Op. 29', 'Stage 2', 'Wolfgang A. Mozart. Piano Concerto 21 in C major, K. 467', 'Round III', 'Johannes Brahms. Piano Concerto 1 in D minor, Op. 15', 'Pyotr Tchaikovsky. Piano Concerto 1 in B-flat minor, Op. 23']"
