Competitior Name,Country of Origin,Age,Stage,Composer,Piece,Ranking,Cliburn Yr
Konstanze Eickhorst,West Germany,27,Preliminary Phase 1,Beethoven,Sonata in E-flat major Op.31 No.3,Preliminary,8th
Konstanze Eickhorst,West Germany,27,Preliminary Phase 2,Beethoven,Sonata in A-flat major Op.110,Preliminary,8th
Seung-Un Ha,United States,23,Preliminary Phase 1,Beethoven,"Sonata in C minor Op.13 ""Pathetique""",Preliminary,8th
Seung-Un Ha,United States,23,Finals Concerti,Beethoven,Piano Concerto No.2 in B-flat major Op.19,Preliminary,8th
Ivo Janssen,Holland,25,Preliminary Phase 1,Beethoven,Sonata in D major Op.28,Preliminary,8th
Jürgen Jakob,West Germany,27,Preliminary Phase 1,Beethoven,Sonata in E-flat major Op.27 No.1,Preliminary,8th
Jürgen Jakob,West Germany,27,Semifinals Recital,Beethoven,"Sonata in B-flat major Op.106 ""Hammerklavier""",Preliminary,8th
Jürgen Jakob,West Germany,27,Finals Concerti,Beethoven,Piano Concerto No.2 in B-flat major Op.19,Preliminary,8th
Rita Kinka,Yugoslavia,27,Finals Concerti,Beethoven,Piano Concerto No.2 in B-flat major Op.19,Preliminary,8th
Leonid Kuzmin,United States,25,Preliminary Phase 1,Beethoven,Sonata in C major Op.2 No.3,Preliminary,8th
Li Jian,People's Republic of China,24,Preliminary Phase 1,Beethoven,"Sonata in C minor Op.13 ""Pathetique""",Preliminary,8th
Lin Hai,People's Republic of China,20,Preliminary Phase 1,Beethoven,Sonata in E-flat major Op.27 No.1,Semifinal,8th
Lin Hai,People's Republic of China,20,Preliminary Phase 2,Beethoven,"Sonata in C major Op.53 ""Waldstein""",Semifinal,8th
Lin Hai,People's Republic of China,20,Finals Concerti,Beethoven,Piano Concerto No.2 in B-flat major Op.19,Semifinal,8th
Benedetto Lupo,Italy,25,Preliminary Phase 1,Beethoven,Sonata in D major Op.10 No.3,3rd,8th
Wolfgang Manz,West Germany,28,Preliminary Phase 1,Beethoven,Sonata in C major Op.2 No.3,Preliminary,8th
Kayo Miki,Japan,29,Preliminary Phase 1,Beethoven,"Sonata in D minor op.31 no.2 ""Tempest""",Semifinal,8th
Károly Mocsári,Hungary,26,Preliminary Phase 1,Beethoven,Sonata in C-sharp minor Op.27 No.2,Preliminary,8th
Predrag Muzijevic,Yugoslavia,25,Preliminary Phase 1,Beethoven,Sonata in E-flat major Op.27 No.1,Preliminary,8th
Predrag Muzijevic,Yugoslavia,25,Semifinals Recital,Beethoven,Sonata in A-flat major Op.110,Preliminary,8th
John Nauman,United States,26,Finals Concerti,Beethoven,Piano Concerto No.2 in B-flat major Op.19,Preliminary,8th
Shari Raynor,United States,27,Preliminary Phase 1,Beethoven,Sonata in D major Op.10 No.3,Preliminary,8th
Shari Raynor,United States,27,Finals Concerti,Beethoven,Piano Concerto No.2 in B-flat major Op.19,Preliminary,8th
Victor Sangiorgio,Australia,30,Preliminary Phase 1,Beethoven,"Sonata in D minor op.31 no.2 ""Tempest""",Preliminary,8th
Victor Sangiorgio,Australia,30,Preliminary Phase 2,Beethoven,"Sonata in F minor Op.57 ""Appassionata""",Preliminary,8th
Victor Sangiorgio,Australia,30,Semifinals Recital,Beethoven,"Sonata in F minor Op.57 ""Appassionata""",Preliminary,8th
Victor Sangiorgio,Australia,30,Finals Concerti,Beethoven,Piano Concerto No.2 in B-flat major Op.19,Preliminary,8th
Ju Hee Suh,Korea,21,Preliminary Phase 1,Beethoven,Sonata in F major Op.7,Preliminary,8th
Ju Hee Suh,Korea,21,Semifinals Recital,Beethoven,"Sonata in F minor Op.57 ""Appassionata""",Preliminary,8th
Ju Hee Suh,Korea,21,Finals Concerti,Beethoven,Piano Concerto No.2 in B-flat major Op.19,Preliminary,8th
Hugh Tinney,Ireland,30,Preliminary Phase 1,Beethoven,Sonata in E-flat major Op.31 No.3,Preliminary,8th
Hugh Tinney,Ireland,30,Finals Concerti,Beethoven,Piano Concerto No.4 in G major Op.58,Preliminary,8th
Andrew Wilde,Great Britain,24,Semifinals Recital,Beethoven,"Sonata in F minor Op.57 ""Appassionata""",Preliminary,8th
Andrew Wilde,Great Britain,24,Finals Concerti,Beethoven,Piano Concerto No.2 in B-flat major Op.19,Preliminary,8th
Ying Tian,People's Republic of China,20,Finals Concerti,Beethoven,Piano Concerto No.4 in G major Op.58,5th,8th
Elisso Bolkvadze,USSR,22,Preliminary Phase 1,Beethoven,Sonata in C major Op.2 No.3,6th,8th
Mark Anderson,United States,29,Semifinal Recital,Beethoven,Sonata in A major Op.101,Preliminary,9th
Andrew Armstrong,United States,19,Semifinal Recital,Beethoven,Sonata in F major Op.54,Semifinal,9th
Armen Babakhanian,Armenia,25,Semifinal Recital,Beethoven,Sonata in E-flat major Op.27 No.1,5th,9th
Fabio Bidini,Italy,24,Semifinal Recital,Beethoven,Sonata in A major Op.101,6th,9th
Fabio Bidini,Italy,24,Final Concerti,Beethoven,Piano Concerto No.2 in B-flat major Op.19,6th,9th
Francesco Cipolletta,Italy,23,Semifinal Recital,Beethoven,Sonata in D major Op.10 No.3,Preliminary,9th
Read Gainsford,New Zealand,30,Preliminary,Beethoven,Sonata in A major Op.101,Preliminary,9th
Alan Gampel,United States,29,Final Concerti,Beethoven,Piano Concerto No.1 in C major Op.15,Preliminary,9th
Kirill Gliadkovsky,Russia,25,Semifinal Recital,Beethoven,Sonata in C minor Op.111,Preliminary,9th
Jennifer Cecilia Hayghe,United States,23,Semifinal Recital,Beethoven,Sonata in A-flat major Op.110,Preliminary,9th
Jennifer Cecilia Hayghe,United States,23,Final Concerti,Beethoven,Piano Concerto No.1 in C major Op.15,Preliminary,9th
Ilya Itin,Russia,26,Semifinal Recital,Beethoven,Sonata in A-flat major Op.110,Preliminary,9th
Ilya Itin,Russia,26,Final Concerti,Beethoven,Piano Concerto No.2 in B-flat major Op.19,Preliminary,9th
Petronel Malan,South Africa,20,Preliminary,Beethoven,"Sonata in D minor op.31 no.2 ""Tempest""",Preliminary,9th
Jura Margulis,Germany,24,Preliminary,Beethoven,Sonata in C major Op.2 No.3,Preliminary,9th
Laura Mikkola,Finland,19,Preliminary,Beethoven,Sonata in C minor Op.111,Preliminary,9th
Lorraine Min,Canada,23,Preliminary,Beethoven,"Sonata in E-flat major op.81a ""Les Adieux""",Preliminary,9th
Edoard Monteiro,Brazil,26,Preliminary,Beethoven,Sonata in A-flat major Op.110,Preliminary,9th
Enrico Pace,Italy,25,Preliminary,Beethoven,Sonata in E major Op.14 No.1,Preliminary,9th
Enrico Pace,Italy,25,Final Concerti,Beethoven,Piano Concerto No.1 in C major Op.15,Preliminary,9th
Shirley Hsiao-Ni Pan,Canada,26,Semifinal Recital,Beethoven,"Sonata in F Minor Op.57 ""Appassionata""",Semifinal,9th
Richard Raymond,Canada,27,Preliminary,Beethoven,Sonata in C minor Op.111,Semifinal,9th
Veronica Reznikovskaya,Russia,26,Preliminary,Beethoven,"Sonata in E-flat major op.81a ""Les Adieux""",Semifinal,9th
Johan Schmidt,Belgium,28,Preliminary,Beethoven,"Sonata in F Minor Op.57 ""Appassionata""",4th,9th
Graham Scott,United Kingdom,26,Preliminary,Beethoven,Sonata in A-flat major Op.110,Preliminary,9th
Margarita Shevchenko,Russia,25,Final Concerti,Beethoven,Piano Concerto No.1 in C major Op.15,Preliminary,9th
Connie Shih,Canada,19,Preliminary,Beethoven,Sonata in A-flat major Op.110,Preliminary,9th
Sergei Tarasov,Russia,22,Semifinal Recital,Beethoven,"Sonata in F Minor Op.57 ""Appassionata""",Preliminary,9th
Christopher Taylor,United States,23,Semifinal Recital,Beethoven,Sonata in C minor Op.111,3rd,9th
François Weigel,France,29,Semifinal Recital,Beethoven,"Sonata in F Minor Op.57 ""Appassionata""",Preliminary,9th
Andreas Woyke,Germany,27,Semifinal Recital,Beethoven,Sonata in A major Op.101,Preliminary,9th
Mikhail Yanovitsky,United States,28,Preliminary,Beethoven,Sonata in D major Op.28,Preliminary,9th
Mikhail Yanovitsky,United States,28,Final Concerti,Beethoven,Piano Concerto No.1 in C major Op.15,Preliminary,9th
Yanfeng Bai,China,23,Preliminary,Beethoven,Sonata in A-flat Major Op.26,3,Kern
Jonathan Mamora,USA,27,Preliminary,Beethoven,Sonata in A-flat Major Op.110,1,Kern
Anthony Ratinov,USA,24,Semifinal,Beethoven,Sonata in E minor Op.90,2,Kern
Rachel Kudo,United States / Japan,29,Semifinal,Beethoven,Sonata in E-flat Major Op.31 No.3,Preliminary,s2016
Ming Xie,China,22,Semifinal,Beethoven,5 Variations on Rule Britannia WoO 79,Preliminary,s2016
Larry Weng,United States,29,Preliminary,Beethoven,Sonata No.30 in E Major Op.109,Preliminary,s2016
Yinfei Wang,China,30,Preliminary,Beethoven,Sonata in C minor Op.111,Preliminary,s2016
Ilya Rashkovskiy,Russia,32,Semifinal,Beethoven,Sonata in B-flat Major Op.106,Preliminary,s2016
Ilya Rashkovskiy,Russia,32,Semifinal,Beethoven,Piano Concerto No.2 in B-flat Major Op.19,Preliminary,s2016
Poom Prommachart,Thailand,27,Semifinal,Beethoven,Piano Concerto No.2 in B-flat Major Op.19,Preliminary,s2016
Alexei Melnikov,Russia,26,Semifinal,Beethoven,Piano Concerto No.1 in C Major Op.15,Preliminary,s2016
Quang Hong Luu,Vietnam,26,Semifinal,Beethoven,"Sonata in F minor Op.57 ""Appasionata""",Preliminary,s2016
Quang Hong Luu,Vietnam,26,Semifinal,Beethoven,Piano Concerto No.1 in C Major Op.15,Preliminary,s2016
Tony Lee,Australia,25,Preliminary,Beethoven,Sonata in E-flat Major Op.27 No.1,Preliminary,s2016
Tony Lee,Australia,25,Semifinal,Beethoven,Piano Concerto No.2 in B-flat Major Op.19,Preliminary,s2016
Daniel Lebhardt,Hungary,24,Preliminary,Beethoven,Sonata in G Major Op.31 No.1,Preliminary,s2016
Daniel Le,Australia,24,Semifinal,Beethoven,Sonata in A-flat Major Op.110,Preliminary,s2016
Jianing Kong,China,30,Semifinal,Beethoven,33 Variations on a waltz by Anton Diabelli Op.120,6,s2016
Alyosha Jurinic,Croatia,27,Preliminary,Beethoven,Sonata in E-flat Major Op.27 No.1,Preliminary,s2016
Gyu Tae Ha,Korea,20,Preliminary,Beethoven,Sonata in E minor Op.90,Semifinal,s2016
Gyu Tae Ha,Korea,20,Final,Beethoven,Piano Concerto No.4 in G Major Op.58,Semifinal,s2016
Andrey Gugnin.,Russia,29,Preliminary,Beethoven,Fantasia in G minor Op.77,1,s2016
Ayesha Gough,Australia,22,Semifinal,Beethoven,Sonata in C minor Op.111,Preliminary,s2016
Ayesha Gough,Australia,22,Semifinal,Beethoven,Piano Concerto No.1 in C Major Op.15,Preliminary,s2016
Yui Fushiki,Japanese,25,Final,Beethoven,Piano Concerto No.4 in G Major Op.58,Preliminary,s2016
Rachel Cheung,Hong Kong,25,Preliminary,Beethoven,Sonata in E minor Op.90,Preliminary,s2016
Rachel Cheung,Hong Kong,25,Final,Beethoven,Piano Concerto No.4 in G Major Op.58,3,s2016
Kenneth Broberg,United States,23,Semifinal,Beethoven,Sonata in D Major Op.10 No.3,4,s2016
Sergey Belyavskiy,Russia,23,Preliminary,Beethoven,Rondo a capriccio Op.129 'Rage Over a Lost Penny',Preliminary,s2016
Sergey Belyavsky,Russian,28,Final Round,Beethoven,Sonata in A-flat major Op.26,,s2021
Maxim Kinasov,Russian,28,Semi Final Round,Beethoven,Sonata in E major Op.109,,s2021
Alexander Malikov,Canada,32,Final Round,Beethoven,Sonata in C minor Op.111,,s2021
Alexandra Pavlova,Kazakhstan,29,Final Round,Beethoven,Sonata in A-flat major Op.110,,s2021
Maxwell Foster,Australian,30,Preliminary Round,Beethoven,Sonata in C major Op.2 No.3,,s2021
Antonii Baryshevskyi,Ukraine,33,Final Round,Beethoven,Sonata in E major Op.109,,s2021
Kevin Chow,Australia,25,Final Round,Beethoven,"Sonata in B-flat major Op.106 ""Hammerklavier""",,s2021
Anna Geniushene,Russia,30,Preliminary Round,Beethoven,Seven Bagatelles Op.33,,s2021
Dinara Klinton,Ukraine,32,Preliminary Round,Beethoven,Sonata in A major Op.101,,s2021
Dinara Klinton,Ukraine,32,Final Round,Beethoven,Sonata in F-sharp major Op.78,,s2021
Aleksandr Kliuchko,Russia,21,Preliminary Round,Beethoven,"Sonata in d minor Op.31 No.2 ""Tempest""",,s2021
Ziyu Liu,China,23,Final Round,Beethoven,Six Bagatelles Op.126,,s2021
Philipp Lynov,Russia,22,Semi Final Round,Beethoven,"Sonata in D minor Op.31 No.2 ""The Tempest""",,s2021
Timur Mustakimov,Russia,34,Semi Final Round,Beethoven,Six Bagatelles Op.126,,s2021
Akihiro Sakiya,Japan,33,Semi Final Round,Beethoven,Sonata in C-sharp minor Op.27 No.2,,s2021
JunLin Wu 2021,China,24,Final Round,Beethoven,33 Variations on a waltz by Anton Diabelli Op.120,,s2021
Ziang Xu,China,29,Semi Final Round,Beethoven,"Sonata in B-flat major Op.106 ""Hammerklavier""",,s2021
Se-Hyeong Yoo,South Korea,31,Preliminary Round,Beethoven,Sonata in E Minor Op.90,,s2021
Andrew Armstrong,United States,23,Semifinal Recital,Bolcom,Nine Bagatelles,Preliminary,10th
Yuri Bogdanov,Russia,25,Semifinal Recital,Bolcom,Nine Bagatelles,Preliminary,10th
Victor Chestopal,Russia,21,Semifinal Recital,Bolcom,Nine Bagatelles,Semifinal,10th
Naida Cole,Canada,22,Semifinal Recital,Bolcom,Nine Bagatelles,Semifinal,10th
Michail Dantchenko,Ukraine,19,Semifinal Recital,Bolcom,Nine Bagatelles,Semifinal,10th
Alexandre Dossin,Brazil,26,Semifinal Recital,Bolcom,Nine Bagatelles,Preliminary,10th
Filippo Gamba,Italy,28,Semifinal Recital,Bolcom,Nine Bagatelles,Finalist,10th
Joel Hastings,Canada,27,Semifinal Recital,Bolcom,Nine Bagatelles,Preliminary,10th
Stanislav Ioudenitch,Russia,25,Semifinal Recital,Bolcom,Nine Bagatelles,Semifinal,10th
Jan Gottlieb Jiracek,Germany,24,Semifinal Recital,Bolcom,Nine Bagatelles,Finalist,10th
Yakov Kasman,Russia,30,Semifinal Recital,Bolcom,Nine Bagatelles,2nd,10th
Yong-Kyu Lee,Korea,24,Semifinal Recital,Bolcom,Nine Bagatelles,Preliminary,10th
Aleksandar Madžar,Yugoslavia,28,Semifinal Recital,Bolcom,Nine Bagatelles,Semifinal,10th
Anton Mordasov,Russia,25,Semifinal Recital,Bolcom,Nine Bagatelles,Preliminary,10th
Susumu Aoyagi,Japan,27,Semifinal Recital,Bolcom,Nine Bagatelles,Preliminary,10th
Olga Pushechnikova,Russia,22,Semifinal Recital,Bolcom,Nine Bagatelles,Preliminary,10th
Aviram Reichert,Israel,25,Semifinal Recital,Bolcom,Nine Bagatelles,3rd,10th
Fernando Rossano,Italy,29,Semifinal Recital,Bolcom,Nine Bagatelles,Preliminary,10th
Per Rundberg,Sweden,25,Semifinal Recital,Bolcom,Nine Bagatelles,Preliminary,10th
Yuan Sheng,China,25,Semifinal Recital,Bolcom,Nine Bagatelles,Preliminary,10th
Margarita Shevchenko,Russia,29,Semifinal Recital,Bolcom,Nine Bagatelles,Preliminary,10th
Christopher Shih,United States,24,Semifinal Recital,Bolcom,Nine Bagatelles,Preliminary,10th
Niklas Sivelöv,Sweden,29,Semifinal Recital,Bolcom,Nine Bagatelles,Preliminary,10th
Katia Skanavi,Russia,25,Semifinal Recital,Bolcom,Nine Bagatelles,Finalist,10th
Alex Slobodyanik,Russia,22,Semifinal Recital,Bolcom,Nine Bagatelles,Preliminary,10th
Ju-Ying Song,United States,27,Semifinal Recital,Bolcom,Nine Bagatelles,Preliminary,10th
Dmitri Teterin,Russia,25,Semifinal Recital,Bolcom,Nine Bagatelles,Preliminary,10th
Albert Tiu,Philippines,28,Semifinal Recital,Bolcom,Nine Bagatelles,Preliminary,10th
Dimitri Vassilakis,Greece,29,Semifinal Recital,Bolcom,Nine Bagatelles,Preliminary,10th
George Vatchnadze,Georgia,29,Semifinal Recital,Bolcom,Nine Bagatelles,Preliminary,10th
Lev Vinocour,Russia,26,Semifinal Recital,Bolcom,Nine Bagatelles,Semifinal,10th
Dmitri Vorobieff,Russia,23,Semifinal Recital,Bolcom,Nine Bagatelles,Preliminary,10th
Yi Wu,Argentina,29,Semifinal Recital,Bolcom,Nine Bagatelles,Preliminary,10th
Peter Miyamoto,United States,27,Semifinal Recital,Bolcom,Nine Bagatelles,Preliminary,10th
Jon Nakamatsu,United States,28,Semifinal Recital,Bolcom,Nine Bagatelles,1st,10th
Andrew Armstrong,United States,23,Semifinal Recital,Brahms,Sonata No.1 in C Major Op.1,Preliminary,10th
Victor Chestopal,Russia,21,Semifinal Chamber Music,Brahms,Piano Quintet in F Minor Op.34,Semifinal,10th
Michail Dantchenko,Ukraine,19,Preliminary Round,Brahms,Variations on a Theme of Paganini Books I and II,Semifinal,10th
Michail Dantchenko,Ukraine,19,Semifinal Chamber Music,Brahms,Piano Quintet in F Minor Op.34,Semifinal,10th
Alexandre Dossin,Brazil,26,Semifinal Chamber Music,Brahms,Piano Quintet in F Minor Op.34,Preliminary,10th
Alexandre Dossin,Brazil,26,Semifinal Recital,Brahms,Three Intermezzi Op.117,Preliminary,10th
Filippo Gamba,Italy,28,Semifinal Chamber Music,Brahms,Piano Quintet in F Minor Op.34,Finalist,10th
Filippo Gamba,Italy,28,Semifinal Recital,Brahms,Fantasies Op.116,Finalist,10th
Filippo Gamba,Italy,28,Final Round,Brahms,Piano Concerto No.2 in B-flat Major Op.83,Finalist,10th
Joel Hastings,Canada,27,Semifinal Chamber Music,Brahms,Piano Quintet in F Minor Op.34,Preliminary,10th
Joel Hastings,Canada,27,Final Round,Brahms,Piano Concerto No.2 in B-flat Major Op.83,Preliminary,10th
Jan Gottlieb Jiracek,Germany,24,Semifinal Recital,Brahms,Variations and Fugue on a Theme of Handel Op.24,Finalist,10th
Yakov Kasman,Russia,30,Semifinal Chamber Music,Brahms,Piano Quintet in F Minor Op.34,2nd,10th
Yong-Kyu Lee,Korea,24,Preliminary Round,Brahms,Variations on a Theme of Paganini Book I,Preliminary,10th
Yong-Kyu Lee,Korea,24,Preliminary Round,Brahms,Intermezzo in A Major Op.118 No.2,Preliminary,10th
Yong-Kyu Lee,Korea,24,Preliminary Round,Brahms,Variations on a Theme of Paganini Book II,Preliminary,10th
Aleksandar Madžar,Yugoslavia,28,Semifinal Chamber Music,Brahms,Piano Quintet in F Minor Op.34,Semifinal,10th
Anton Mordasov,Russia,25,Semifinal Chamber Music,Brahms,Piano Quintet in F Minor Op.34,Preliminary,10th
Anton Mordasov,Russia,25,Semifinal Recital,Brahms,Three Intermezzi Op.117,Preliminary,10th
Fernando Rossano,Italy,29,Final Concerti,Brahms,Piano Concerto No.1 in D minor Op.15,Preliminary,10th
Margarita Shevchenko,Russia,29,Semifinal Chamber,Brahms,Piano Quintet in F minor Op.34,Preliminary,10th
Christopher Shih,United States,24,Semifinal Recital,Brahms,Variations and Fugue on a Theme of Handel Op.24,Preliminary,10th
Niklas Sivelöv,Sweden,29,Semifinal Chamber,Brahms,Piano Quintet in F minor Op.34,Preliminary,10th
Alex Slobodyanik,Russia,22,Semifinal Chamber,Brahms,Piano Quintet in F minor Op.34,Preliminary,10th
Ju-Ying Song,United States,27,Semifinal Chamber,Brahms,Piano Quintet in F minor Op.34,Preliminary,10th
Dmitri Teterin,Russia,25,Semifinal Chamber,Brahms,Piano Quintet in F minor Op.34,Preliminary,10th
Albert Tiu,Philippines,28,Semifinal Chamber,Brahms,Piano Quintet in F minor Op.34,Preliminary,10th
Dimitri Vassilakis,Greece,29,Semifinal Chamber,Brahms,Piano Quintet in F minor Op.34,Preliminary,10th
George Vatchnadze,Georgia,29,Semifinal Chamber,Brahms,Piano Quintet in F minor Op.34,Preliminary,10th
Lev Vinocour,Russia,26,Final Concerti,Brahms,Piano Concerto No.2 in B-flat major Op.83,Semifinal,10th
Dmitri Vorobieff,Russia,23,Semifinal Chamber,Brahms,Piano Quintet in F minor Op.34,Preliminary,10th
Yi Wu,Argentina,29,Semifinal Chamber,Brahms,Piano Quintet in F minor Op.34,Preliminary,10th
Jon Nakamatsu,United States,28,Preliminary,Brahms,Sonata in C major Op.1,1st,10th
Maurizio Baglini,Italy,26,Final Round,Brahms,Piano Concerto No.1 in D Minor Op.15,Semifinal,11th
Dror Biran,Israel,24,Preliminary Round,Brahms,Four Ballades Op.10,Preliminary,11th
Yuri Blinov,Belarus,25,Preliminary Round,Brahms,Sonata No.7 Op.64,Preliminary,11th
Stefania Cafaro,Italy,29,Semifinal Chamber,Brahms,Piano Quintet in F Minor Op.34,Preliminary,11th
Ying Feng,China,24,Preliminary Round,Brahms,Sonata in F-sharp Minor Op.2,Preliminary,11th
Ying Feng,China,24,Chamber Music,Brahms,Piano Quintet in F Minor Op.34,Preliminary,11th
Davide Franceschetti,Italy,24,Semifinal Recital,Brahms,Intermezzo in A Major Op.118 No.2,Semifinal,11th
Davide Franceschetti,Italy,24,Final Round,Brahms,Piano Concerto No.1 in D Minor Op.15,Semifinal,11th
Tadashi Imai,Japan,25,Semifinal Recital,Brahms,Rhapsody in B Minor Op.79 No.1,Preliminary,11th
Tadashi Imai,Japan,25,Chamber Music,Brahms,Piano Quintet in F Minor Op.34,Preliminary,11th
Paavali Jumppanen,Finland,26,Semifinal Chamber,Brahms,Piano Quintet in F Minor Op.34,Preliminary,11th
Paavali Jumppanen,Finland,26,Final Round,Brahms,Piano Concerto No.1 in D Minor Op.15,Preliminary,11th
Olga Kern,Russia,26,Semifinal Recital,Brahms,Variations on a Theme of Paganini Books I and II,1st,11th
Oleksiy Koltakov,Ukraine,22,Preliminary Round,Brahms,Variations on a Theme of Paganini Books I and II,Finalist,11th
Sergey Koudriakov,Russia,23,Semifinal Chamber,Brahms,Piano Quintet in F Minor Op.34,Semifinal,11th
Albert Mamriev,Israel,26,Semifinal Recital,Brahms,Fantasies Op.116,Preliminary,11th
Anton Mordasov,Russia,29,Chamber Music,Brahms,Piano Quintet in F Minor Op.34,Preliminary,11th
Jong Hwa Park,Korea,26,Chamber Music,Brahms,Piano Quintet in F Minor Op.34,Preliminary,11th
Jong-Gyung Park,Korea,25,Chamber Music,Brahms,Piano Quintet in F Minor Op.34,Preliminary,11th
Antonio Pompa-Baldi,Italy,26,Semifinal Recital,Brahms,Variations on a Theme of Paganini Books I and II,2nd,11th
Maxim Philippov,Russia,29,Chamber Music,Brahms,Piano Quintet in F Minor Op.34,2nd,11th
Andrew Russo,United States,25,Chamber Music,Brahms,Piano Quintet in F Minor Op.34,Preliminary,11th
Roger Wright,United States,27,Chamber Music,Brahms,Piano Quintet in F Minor Op.34,Preliminary,11th
Giuseppe Andaloro,Italy,23,Semifinal Chamber,Brahms,Piano Quintet in F Minor Op.34,Preliminary,11th
Sodi Braide,Nigeria/United Kingdom,29,Semifinal Chamber,Brahms,Piano Quintet in F Minor Op.34,Preliminary,11th
Sodi Braide,Nigeria/United Kingdom,29,Final Concert,Brahms,Piano Concerto No.1 in D Minor Op.15,Preliminary,11th
Davide Franceschetti,Italy,28,Final Concert,Brahms,Piano Concerto No.2 in B-flat Major Op.83,Preliminary,11th
Lilian Akopova,Ukraine,21,Semifinal Recital,Brahms,Sonata No.1 in C Major Op.1,Preliminary,11th
Albert Mamriev,Israel,30,Semifinal Chamber,Brahms,Piano Quintet in F minor Op.34,Preliminary,12th
Gabriela Martinez,Venezuela,21,Semifinal Chamber,Brahms,Piano Quintet in F minor Op.34,Semifinal,12th
Maria Mazo,Russia/Germany,22,Final Recital,Brahms,Sonata No.3 in F minor Op.5,Semifinal,12th
Roberto Plano,Italy,26,Preliminary,Brahms,Klavierstücke Op.118,Finalist,12th
Roberto Plano,Italy,26,Final Recital,Brahms,Sonata No.3 in F minor Op.5,Finalist,12th
Ilya Rashkovskiy,Russia,20,Semifinal Chamber,Brahms,Piano Quintet in F minor Op.34,Preliminary,12th
Elizabeth Joy Roe,United States,23,Semifinal,Brahms,Sonata No.2 in F-sharp minor Op.2,Preliminary,12th
Rui Shi,China,21,Preliminary,Brahms,Sonata No.1 in C major Op.1,Preliminary,12th
Wang Xiaohan,China,24,Final Concerti,Brahms,Piano Concerto No.1 in D minor Op.15,Semifinal,12th
Di Wu,China,20,Semifinal Recital,Brahms,Variations on a Theme of Paganini Books I and II,Preliminary,12th
Joyce Yang,South Korea,19,Final Recital,Brahms,Sonata No.1 in C major Op.1,2nd,12th
Andrius Žlabys,Lithuania,28,Preliminary Recital,Brahms,Intermezzo in A minor Op.118 No.1,Preliminary,12th
Andrius Žlabys,Lithuania,28,Preliminary Recital,Brahms,Intermezzo in A major Op.118 No.2,Preliminary,12th
Andrius Žlabys,Lithuania,28,Preliminary Recital,Brahms,Ballade in G minor Op.118 No.3,Preliminary,12th
Andrius Žlabys,Lithuania,28,Preliminary Recital,Brahms,Intermezzo in F minor Op.118 No.4,Preliminary,12th
Andrius Žlabys,Lithuania,28,Preliminary Recital,Brahms,Intermezzo in E-flat major Op.118 No.6,Preliminary,12th
Andrius Žlabys,Lithuania,28,Final Concerti,Brahms,Piano Concerto No.1 in D minor Op.15,Preliminary,12th
Ang Li,Canada,20,Semifinal Chamber,Brahms,Piano Quintet in F minor Op.34,Preliminary,12th
Ang Li,Canada,20,Final Recital,Brahms,Sonata No.3 in F minor Op.5,Preliminary,12th
Ang Li,Canada,20,Final Concert,Brahms,Piano Concerto No.1 in D minor Op.15,Preliminary,12th
Davide Cabassi,Italy,28,Final Recital,Brahms,Variations and Fugue on a Theme of Handel Op.24,Finalist,12th
Davide Cabassi,Italy,28,Final Concert,Brahms,Piano Concerto No.1 in D Minor Op.15,Finalist,12th
Jie Chen,China,19,Semifinal Chamber,Brahms,Piano Quintet in F Minor Op.34,Semifinal,12th
Jie Chen,China,19,Final Recital,Brahms,Variations on a Theme of Paganini Books I and II,Semifinal,12th
Ying Feng,China,28,Semifinal Recital,Brahms,Klavierstücke in A Major Op.118 No.2,Semifinal,12th
Ying Feng,China,28,Semifinal Recital,Brahms,Variations on a Theme of Paganini Books I and II,Semifinal,12th
Ying Feng,China,28,Semifinal Chamber,Brahms,Piano Quintet in F Minor Op.34,Semifinal,12th
Ying Feng,China,28,Final Recital,Brahms,Sonata No.2 in F-sharp Minor Op.2,Semifinal,12th
Alexander Kobrin,Russia,25,Preliminary Recital,Brahms,Variations on a Theme of Paganini Books I and II,1st,12th
Alexander Kobrin,Russia,25,Semifinal Chamber,Brahms,Piano Quintet in F Minor Op.34,1st,12th
Alexander Kobrin,Russia,25,Final Recital,Brahms,Intermezzo in A Major Op.118 No.2,1st,12th
Yue Chu,China,25,Final Recital,Brahms,Klavierstücke Op.118,Preliminary,13th
Ran Dank,Israel,27,Semifinal Chamber,Brahms,Piano Quintet in F Minor Op.34,Semifinal,13th
Alessandro Deljavan,Italy,22,Semifinal Chamber,Brahms,Piano Quintet in F Minor Op.34,Semifinal,13th
Kyu Yeon Kim,South Korea,23,Semifinal Chamber,Brahms,Piano Quintet in F Minor Op.34,Semifinal,13th
Naomi Kudo,United States/Japan,22,Semifinal Chamber,Brahms,Piano Quintet in F Minor Op.34,Preliminary,13th
Natacha Kudritskaya,Ukraine,25,Semifinal Chamber,Brahms,Piano Quintet in F Minor Op.34,Preliminary,13th
Andrea Lam,Australia,27,Semifinal Recital,Brahms,Klavierstücke Op.118,Semifinal,13th
Soyeon Lee,South Korea,29,Semifinal Recital,Brahms,Sonata No.2 in F-sharp Minor Op.2,Preliminary,13th
Ang Li,Canada,24,Preliminary Recital,Brahms,Sonata No.3 in F Minor Op.5,Preliminary,13th
Ang Li,Canada,24,Final Concerti,Brahms,Piano Concerto No.1 in D Minor Op.15,Preliminary,13th
