"Competitor Name","Country","Age","Stage","Composer","Associated Piece"
"Elizaveta Kliuchereva","Russia","23","Quarterfinal Round","Chopin","Polonaise-Fantaisie in A-flat Major, op. 61"
"Elizaveta Kliuchereva","Russia","23","Quarterfinal Round","Debussy","La plus que lente; ""Feux d'artifice"" from Preludes, Book II"
"Elizaveta Kliuchereva","Russia","23","Quarterfinal Round","Strauss–Godowsky","Symphonic Metamorphosis on Die Fledermaus"
"Elizaveta Kliuchereva","Russia","23","Semifinal Round","Schubert","Impromptus, D. 935, nos. 1 and 2"
"Elizaveta Kliuchereva","Russia","23","Semifinal Round","Schumann","Carnaval, op. 9"
"Elizaveta Kliuchereva","Russia","23","Semifinal Round","Rachmaninov","Sonata No. 2 in B-flat Minor, op. 36 (1931)"
"Elizaveta Kliuchereva","Russia","23","Semifinal Round","Mozart","Piano Concerto No. 21 in C Major, K. 467"
"Elizaveta Kliuchereva","Russia","23","Final Round","Liszt","Piano Concerto No. 1 in E-flat Major, S. 124"
"Elizaveta Kliuchereva","Russia","23","Final Round","Rachmaninov","Piano Concerto No. 3 in D Minor, op. 30"
"Uga Grants","United States (born in Czechoslovakia)","21","Preliminary Round","Brahms","Sonata, Opus 5, F minor"
"Uga Grants","United States (born in Czechoslovakia)","21","Preliminary Round","Bach","Prelude and Fugue, Book I, No. 4"
"Uga Grants","United States (born in Czechoslovakia)","21","Preliminary Round","Beethoven","Sonata, Opus 110"
"Uga Grants","United States (born in Czechoslovakia)","21","Preliminary Round","Chopin","Mazurka, Opus 59, No. 1; Etude, Opus 10, No. 4; Nocturne, Opus 48, No. 1"
"Uga Grants","United States (born in Czechoslovakia)","21","Preliminary Round","Liszt-Paganini","Etude in E-flat"
"Uga Grants","United States (born in Czechoslovakia)","21","Preliminary Round","Albéniz","Triana fromIberia"
"Uga Grants","United States (born in Czechoslovakia)","21","Preliminary Round","Aaron Copland","Sonata (1941)"
"Uga Grants","United States (born in Czechoslovakia)","21","Preliminary Round","Willard Straight","Structure for Piano"
"Uga Grants","United States (born in Czechoslovakia)","21","Semifinal Round","Brahms","Quintette, Opus 34"
"Uga Grants","United States (born in Czechoslovakia)","21","Semifinal Round","Scarlatti","Sonatas — Longo 413; Longo 384"
"Uga Grants","United States (born in Czechoslovakia)","21","Semifinal Round","Barber","Nocturne"
"Uga Grants","United States (born in Czechoslovakia)","21","Semifinal Round","Schumann","Carnaval"
"Uga Grants","United States (born in Czechoslovakia)","21","Final Round","Prokofiev","Concerto No.2, First Movement"
"Uga Grants","United States (born in Czechoslovakia)","21","Final Round","Schumann","Concerto in A minor, Third Movement"
"Uga Grants","United States (born in Czechoslovakia)","21","Final Round","Beethoven","Concerto No.5"
"Larry Michael Graham","United States","22","Preliminary Round","Schumann","Toccata, Opus 7"
"Larry Michael Graham","United States","22","Preliminary Round","Bach","Prelude and Fugue, Book I, No. 4"
"Larry Michael Graham","United States","22","Preliminary Round","Beethoven","Sonata, Opus 57"
"Larry Michael Graham","United States","22","Preliminary Round","Chopin","Mazurka, Opus 59, No. 1; Etude, Opus 10, No. 4; Nocturne, Opus 48, No. 1"
"Larry Michael Graham","United States","22","Preliminary Round","Liszt-Paganini","Etude No. 2, E-flat"
"Larry Michael Graham","United States","22","Preliminary Round","Albéniz","El Albaicín fromIberia"
"Larry Michael Graham","United States","22","Preliminary Round","Aaron Copland","Sonata (1941)"
"Larry Michael Graham","United States","22","Preliminary Round","Willard Straight","Structure for Piano"
"Larry Michael Graham","United States","22","Semifinal Round","Brahms","Quintette, Opus 34"
"Larry Michael Graham","United States","22","Semifinal Round","Scarlatti","Sonatas — Longo 271; Longo 498"
"Larry Michael Graham","United States","22","Semifinal Round","Kent Kennan","Three Preludes for Piano"
"Larry Michael Graham","United States","22","Semifinal Round","Schubert","Wanderer Fantasy, Opus 15"
"Larry Michael Graham","United States","22","Final Round","Prokofiev","Concerto No.2, First Movement"
"Larry Michael Graham","United States","22","Final Round","MacDowell","Concerto in D minor, First Movement"
"Larry Michael Graham","United States","22","Final Round","Beethoven","Concerto No.1"
"Michiko Fujinuma","Japan","21","Preliminary Round","Brahms","Variations on a Theme by Paganini, Opus 35, No. 2"
"Michiko Fujinuma","Japan","21","Preliminary Round","Bach","Prelude and Fugue, Book I, No. 4"
"Michiko Fujinuma","Japan","21","Preliminary Round","Beethoven","Sonata, Opus 81A"
"Michiko Fujinuma","Japan","21","Preliminary Round","Chopin","Mazurka, Opus 59, No. 1; Etude, Opus 10, No. 4; Nocturne, Opus 27, No. 2"
"Michiko Fujinuma","Japan","21","Preliminary Round","Liszt-Paganini","Etude in E-flat"
"Michiko Fujinuma","Japan","21","Preliminary Round","Albéniz","Triana fromIberia"
"Michiko Fujinuma","Japan","21","Preliminary Round","Aaron Copland","Sonata (1941)"
"Michiko Fujinuma","Japan","21","Preliminary Round","Willard Straight","Structure for Piano"
"Michiko Fujinuma","Japan","21","Semifinal Round","Franck","Quintette"
"Michiko Fujinuma","Japan","21","Semifinal Round","Scarlatti","Sonatas — Longo 104; Longo 422"
"Michiko Fujinuma","Japan","21","Semifinal Round","Barber","Sonata, Opus.26, Fourth Movement"
"Michiko Fujinuma","Japan","21","Semifinal Round","Brahms","Sonata, Opus.5"
"Michiko Fujinuma","Japan","21","Final Round","Prokofiev","Concerto No.2, First Movement"
"Michiko Fujinuma","Japan","21","Final Round","Schumann","Concerto in A minor, Third Movement"
"Michiko Fujinuma","Japan","21","Final Round","Beethoven","Concerto No.5"
"Barbara Crouse","United States","21","Preliminary Round","Debussy","Les feux d'artifice"
"Barbara Crouse","United States","21","Preliminary Round","Bach","Prelude and Fugue, Book I, No. 4"
"Barbara Crouse","United States","21","Preliminary Round","Mozart","Sonata, K.576, D Major"
"Barbara Crouse","United States","21","Preliminary Round","Chopin","Mazurka, Opus 59, No. 1; Etude, Opus 10, No. 4; Nocturne, Opus 27, No. 2"
"Barbara Crouse","United States","21","Preliminary Round","Rachmaninoff","Etude Tableaux, Opus 39, No. 5"
"Barbara Crouse","United States","21","Preliminary Round","Aaron Copland","Sonata (1941)"
"Barbara Crouse","United States","21","Preliminary Round","Willard Straight","Structure for Piano"
"Barbara Crouse","United States","21","Semifinal Round","Shostakovich","Quintette, Opus 51"
"Barbara Crouse","United States","21","Semifinal Round","Scarlatti","Sonatas — Longo 104; Longo 387"
"Barbara Crouse","United States","21","Semifinal Round","Griffes","Scherzo, Opus 6"
"Barbara Crouse","United States","21","Semifinal Round","Brahms","Variations and Fugue on a Theme by Handel, Opus 24"
"Barbara Crouse","United States","21","Final Round","Prokofiev","Concerto No.2, First Movement"
"Barbara Crouse","United States","21","Final Round","Schumann","Concerto in A minor, Third Movement"
"Barbara Crouse","United States","21","Final Round","Rachmaninoff","Concerto No.4, First Movement"
"Renee Chevalier","United States","23","Preliminary Round","Chopin","Sonata No. 2, B-flat minor; Mazurka, Opus 59, No. 1; Etude, Opus 10, No. 4; Nocturne, Opus 27, No. 2"
"Renee Chevalier","United States","23","Preliminary Round","Bach","Prelude and Fugue, Book I, No. 4"
"Renee Chevalier","United States","23","Preliminary Round","Beethoven","Sonata, Opus 109"
"Renee Chevalier","United States","23","Preliminary Round","Debussy","Etude No. 3 ""Pour les Quartes"""
"Renee Chevalier","United States","23","Preliminary Round","Albéniz","El Puerto fromIberia"
"Renee Chevalier","United States","23","Preliminary Round","Aaron Copland","Sonata (1941)"
"Renee Chevalier","United States","23","Preliminary Round","Willard Straight","Structure for Piano"
"Renee Chevalier","United States","23","Semifinal Round","Brahms","Quintette, Opus 34"
"Renee Chevalier","United States","23","Semifinal Round","Scarlatti","Sonatas — Longo 429; Longo 33"
"Renee Chevalier","United States","23","Semifinal Round","Andrew Imbrie","Sonata, third movement"
"Renee Chevalier","United States","23","Semifinal Round","Schumann","Symphonic Etudes"
"Renee Chevalier","United States","23","Final Round","Prokofiev","Concerto No.2"
"Renee Chevalier","United States","23","Final Round","MacDowell","Concerto in D minor, first movement"
"Renee Chevalier","United States","23","Final Round","Beethoven","Concerto No.5"
"Monique Charland","United States","26","Preliminary Round","Chopin","Ballade, Opus 52, No. 4; Mazurka, Opus 59, No. 1; Etude, Opus 10, No. 4; Nocturne, Opus 48, No. 2"
"Monique Charland","United States","26","Preliminary Round","Bach","Prelude and Fugue, Book I, No. 4"
"Monique Charland","United States","26","Preliminary Round","Beethoven","Sonata, Opus 81a"
"Monique Charland","United States","26","Preliminary Round","Liszt-Paganini","Etude in E-flat"
"Monique Charland","United States","26","Preliminary Round","Albéniz","Evocation fromIberia"
"Monique Charland","United States","26","Preliminary Round","Aaron Copland","Sonata (1941)"
"Monique Charland","United States","26","Preliminary Round","Willard Straight","Structure for Piano"
"Monique Charland","United States","26","Semifinal Round","Schumann","Quintette"
"Monique Charland","United States","26","Semifinal Round","Scarlatti","Sonatas — Longo 23; Longo 449"
"Monique Charland","United States","26","Semifinal Round","Miller","""Petit Caprice,"" Opus.52"
"Monique Charland","United States","26","Semifinal Round","Chopin","Sonata, Opus.58 in B minor"
"Monique Charland","United States","26","Final Round","Prokofiev","Concerto No.2, First Movement"
"Monique Charland","United States","26","Final Round","Schumann","Concerto in A minor, Third Movement"
"Monique Charland","United States","26","Final Round","Beethoven","Concerto No.1"
"Carl Michael Cave","United States","22","Preliminary Round","Ravel","Sonatine"
"Carl Michael Cave","United States","22","Preliminary Round","Bach","Prelude and Fugue, Book I, No. 4"
"Carl Michael Cave","United States","22","Preliminary Round","Beethoven","Sonata, Opus 109"
"Carl Michael Cave","United States","22","Preliminary Round","Chopin","Mazurka, Opus 59, No. 1; Etude, Opus 10, No. 4; Nocturne, Opus 55, No. 2"
"Carl Michael Cave","United States","22","Preliminary Round","Scriabin","Etude, Opus 8, No. 12"
"Carl Michael Cave","United States","22","Preliminary Round","Albéniz","El Albaicín fromIberia"
"Carl Michael Cave","United States","22","Preliminary Round","Aaron Copland","Sonata (1941)"
"Carl Michael Cave","United States","22","Preliminary Round","Willard Straight","Structure for Piano"
"Carl Michael Cave","United States","22","Semifinal Round","Brahms","Quintette, Opus 34"
"Carl Michael Cave","United States","22","Semifinal Round","Scarlatti","Sonatas — Longo 23; Longo 104"
"Carl Michael Cave","United States","22","Semifinal Round","Harris","American Ballades, Nos. 1, 2, and 5"
"Carl Michael Cave","United States","22","Semifinal Round","Schubert","Sonata, Posthumous"
"Carl Michael Cave","United States","22","Final Round","Prokofiev","Concerto No.2, First Movement"
"Carl Michael Cave","United States","22","Final Round","Schumann","Concerto, Third Movement"
"Carl Michael Cave","United States","22","Final Round","Beethoven","Concerto No.5"
"Rudolf Buchbinder","Austria","19","Preliminary Round","Debussy","Pour le Piano"
"Rudolf Buchbinder","Austria","19","Preliminary Round","Bach","Prelude and Fugue, Book I, No. 4"
"Rudolf Buchbinder","Austria","19","Preliminary Round","Beethoven","Sonata, Opus 31, No. 3"
"Rudolf Buchbinder","Austria","19","Preliminary Round","Chopin","Mazurka, Opus 59, No. 1; Etude, Opus 10, No. 4; Nocturne, Opus 62, No. 1"
"Rudolf Buchbinder","Austria","19","Preliminary Round","Scriabin","Etude, Opus 8, No. 12"
"Rudolf Buchbinder","Austria","19","Preliminary Round","Albéniz","El Polo fromIberia"
"Rudolf Buchbinder","Austria","19","Preliminary Round","Aaron Copland","Sonata (1941)"
"Rudolf Buchbinder","Austria","19","Preliminary Round","Willard Straight","Structure for Piano"
"Rudolf Buchbinder","Austria","19","Semifinal Round","Dvořák","Quintette, Opus 31"
"Rudolf Buchbinder","Austria","19","Semifinal Round","Scarlatti","Sonatas — No.15; No.20 (Ed. Peters Book II)"
"Rudolf Buchbinder","Austria","19","Semifinal Round","Bloch","Waves from Poems of the Sea"
"Rudolf Buchbinder","Austria","19","Semifinal Round","Chopin","Sonata, Opus.58"
"Rudolf Buchbinder","Austria","19","Final Round","Prokofiev","Concerto No.2, First Movement"
"Rudolf Buchbinder","Austria","19","Final Round","Beethoven","Concerto No.1"
"Rudolf Buchbinder","Austria","19","Final Round","Schumann","Concerto in A minor, Third Movement"
"Rudolf Buchbinder","Austria","19","Preliminary Round","Chopin","Mazurka, Opus 59, No. 1"
"Rudolf Buchbinder","Austria","19","Preliminary Round","Chopin","Etude, Opus 10, No. 4"
"Rudolf Buchbinder","Austria","19","Preliminary Round","Chopin","Nocturne, Opus 62, No. 1"
"Rudolf Buchbinder","Austria","19","Semifinal Round","Chopin","Sonata, Opus 58"
"Enrique Batiz","Mexico","22","Preliminary Round","Schumann","Toccata, Opus 7"
"Enrique Batiz","Mexico","22","Preliminary Round","Bach","Prelude and Fugue, Book I, No. 4"
"Enrique Batiz","Mexico","22","Preliminary Round","Beethoven","Sonata, Opus 31, No. 2"
"Enrique Batiz","Mexico","22","Preliminary Round","Chopin","Mazurka, Opus 59, No. 1"
"Enrique Batiz","Mexico","22","Preliminary Round","Chopin","Etude, Opus 10, No. 4"
"Enrique Batiz","Mexico","22","Preliminary Round","Chopin","Nocturne, Opus 27, No. 2"
"Enrique Batiz","Mexico","22","Preliminary Round","Debussy","Octave Etude"
"Enrique Batiz","Mexico","22","Preliminary Round","Albéniz","Triana fromIberia"
"Enrique Batiz","Mexico","22","Preliminary Round","Aaron Copland","Sonata (1941)"
"Enrique Batiz","Mexico","22","Preliminary Round","Willard Straight","Structure for Piano"
"Enrique Batiz","Mexico","22","Semifinal Round","Brahms","Quintette, Opus 34"
"Enrique Batiz","Mexico","22","Semifinal Round","Scarlatti","Sonatas — Longo 461; Longo 23"
"Enrique Batiz","Mexico","22","Semifinal Round","Barber","Sonata, Opus.26, Fugue"
"Enrique Batiz","Mexico","22","Semifinal Round","Chopin","Sonata, Opus.35, No.2"
"Enrique Batiz","Mexico","22","Final Round","Prokofiev","Concerto No.2, First Movement"
"Enrique Batiz","Mexico","22","Final Round","Schumann","Concerto in A minor, Third Movement"
"Enrique Batiz","Mexico","22","Final Round","Beethoven","Concerto No.1"
"Peter John Basquin","United States","22","Preliminary Round","Brahms","Paganini Variations, Opus 35, Book II"
"Peter John Basquin","United States","22","Preliminary Round","Bach","Prelude and Fugue, Book I, No. 4"
"Peter John Basquin","United States","22","Preliminary Round","Mozart","Sonata, K. 576, D Major"
"Peter John Basquin","United States","22","Preliminary Round","Chopin","Mazurka, Opus 59, No. 1"
"Peter John Basquin","United States","22","Preliminary Round","Chopin","Etude, Opus 10, No. 4"
"Peter John Basquin","United States","22","Preliminary Round","Chopin","Nocturne, Opus 48, No. 1"
"Peter John Basquin","United States","22","Preliminary Round","Liszt-Paganini","Etude, E-flat major"
"Peter John Basquin","United States","22","Preliminary Round","Albéniz","Fête-Dieu à Seville fromIberia"
"Peter John Basquin","United States","22","Preliminary Round","Aaron Copland","Sonata (1941)"
"Peter John Basquin","United States","22","Preliminary Round","Willard Straight","Structure for Piano"
"Peter John Basquin","United States","22","Semifinal Round","Brahms","Quintette, Opus 34"
"Peter John Basquin","United States","22","Semifinal Round","Scarlatti","Sonatas — Longo 118; Longo 125"
"Peter John Basquin","United States","22","Semifinal Round","Barber","Sonata, Finale"
"Peter John Basquin","United States","22","Semifinal Round","Schubert","Fantasy ""Der Wanderer"""
"Peter John Basquin","United States","22","Final Round","Prokofiev","Concerto No.2, First Movement"
"Peter John Basquin","United States","22","Final Round","Schumann","Concerto in A minor, Third Movement"
"Peter John Basquin","United States","22","Final Round","Beethoven","Concerto No.5"
"Henri Barda","France","25","Preliminary Round","Prokofiev","Sonata No. 7, Opus 83"
"Henri Barda","France","25","Preliminary Round","Bach","Prelude and Fugue, Book I, No. 4"
"Henri Barda","France","25","Preliminary Round","Haydn","Sonata, Opus 78"
"Henri Barda","France","25","Preliminary Round","Chopin","Mazurka, Opus 59, No. 1"
"Henri Barda","France","25","Preliminary Round","Chopin","Etude, Opus 10, No. 4"
"Henri Barda","France","25","Preliminary Round","Chopin","Nocturne, Opus 27, No. 1"
"Henri Barda","France","25","Preliminary Round","Rachmaninoff","Etude, Opus 39, No. 5"
"Henri Barda","France","25","Preliminary Round","Albéniz","Triana fromIberia"
"Henri Barda","France","25","Preliminary Round","Aaron Copland","Sonata (1941)"
"Henri Barda","France","25","Preliminary Round","Willard Straight","Structure for Piano"
"Henri Barda","France","25","Semifinal Round","Franck","Quintette"
"Henri Barda","France","25","Semifinal Round","Scarlatti","Sonatas — Longo 188; Longo 465"
"Henri Barda","France","25","Semifinal Round","Barber","Sonata, Opus.26 (Third and Fourth Movements)"
"Henri Barda","France","25","Semifinal Round","Liszt","Mephisto Waltz"
"Henri Barda","France","25","Final Round","Prokofiev","Concerto No.2 in G minor (First Movement)"
"Henri Barda","France","25","Final Round","MacDowell","Concerto in D minor"
"Henri Barda","France","25","Final Round","Schumann","Concerto in A minor (Third Movement)"
"Francisco Aybar","United States","25","Preliminary Round","Schumann","Toccata, Opus 7"
"Francisco Aybar","United States","25","Preliminary Round","Bach","Prelude and Fugue, Book I, No. 4"
"Francisco Aybar","United States","25","Preliminary Round","Beethoven","Sonata, Opus 31, No. 2"
"Francisco Aybar","United States","25","Preliminary Round","Chopin","Mazurka, Opus 59, No. 1"
"Francisco Aybar","United States","25","Preliminary Round","Chopin","Etude, Opus 10, No. 4"
"Francisco Aybar","United States","25","Preliminary Round","Chopin","Nocturne, Opus 62, No. 2"
"Francisco Aybar","United States","25","Preliminary Round","Debussy","Etude, Book I, No. 6"
"Francisco Aybar","United States","25","Preliminary Round","Albéniz","Evocation fromIberia"
"Francisco Aybar","United States","25","Preliminary Round","Aaron Copland","Sonata (1941)"
"Francisco Aybar","United States","25","Preliminary Round","Willard Straight","Structure for Piano"
"Francisco Aybar","United States","25","Semifinal Round","Schumann","Quintette"
"Francisco Aybar","United States","25","Semifinal Round","Scarlatti","Sonatas — Longo 428; Longo 103"
"Francisco Aybar","United States","25","Semifinal Round","Kirchner","Sonata, Second Movement"
"Francisco Aybar","United States","25","Semifinal Round","Chopin","Fantaisie, Opus.49 in F minor"
"Francisco Aybar","United States","25","Final Round","Prokofieff","Concerto No.2, First Movement"
"Francisco Aybar","United States","25","Final Round","Schumann","Concerto, Opus.54 in A minor, Third Movement"
"Francisco Aybar","United States","25","Final Round","Beethoven","Concerto, Opus.15 in C Major"
"Marco Antonio Abissamra","Brazil","21","Preliminary Round","Villa-Lobos","Minstrel Impressions"
"Marco Antonio Abissamra","Brazil","21","Preliminary Round","Bach","Prelude and Fugue, Book I, No. 4"
"Marco Antonio Abissamra","Brazil","21","Preliminary Round","Mozart","Sonata K.330 No. 10, C Major"
"Marco Antonio Abissamra","Brazil","21","Preliminary Round","Chopin","Mazurka, Opus 59, No. 1"
"Marco Antonio Abissamra","Brazil","21","Preliminary Round","Chopin","Etude, Opus 10, No. 4"
"Marco Antonio Abissamra","Brazil","21","Preliminary Round","Chopin","Nocturne, Opus 37, No. 2"
"Marco Antonio Abissamra","Brazil","21","Preliminary Round","Debussy","Etude ""Pour Les Accords"" No. 12"
"Marco Antonio Abissamra","Brazil","21","Preliminary Round","Albéniz","El Albaicín fromIberia"
"Marco Antonio Abissamra","Brazil","21","Preliminary Round","Aaron Copland","Sonata (1941)"
"Marco Antonio Abissamra","Brazil","21","Preliminary Round","Willard Straight","Structure for Piano"
"Marco Antonio Abissamra","Brazil","21","Semifinal Round","Brahms","Piano Quintette, Opus 34"
