Stage,Stage Simple,Composer,Piece,Composite,Ranking
Quarterfinal Recital,Quarterfinal,Chopin,Ballade No.4 in F Minor Op.52,Chopin Ballade No.4 in F Minor Op.52,2
Semifinal Recital,Semifinal,Ravel,La Valse,Ravel La Valse,2
Semifinal Recital,Semifinal,Haydn,Sonata in G Major Hob.XVI:40,Haydn Sonata in G Major Hob.XVI:40,2
Semifinal Recital,Semifinal,Debussy,Suite Bergamasque,Debussy Suite Bergamasque,2
Semifinal Recital,Semifinal,Rachmaninoff,13 Preludes Op.32,Rachmaninoff 13 Preludes Op.32,2
Semifinal Recital,Semifinal,Scarlatti,Sonata in D Major K.492,Scarlatti Sonata in D Major K.492,2
Semifinal Recital,Semifinal,Scarlatti,Sonata in D Minor K.141,Scarlatti Sonata in D Minor K.141,2
Semifinal Recital,Semifinal,Beethoven,Sonata in E-flat Major Op.31 No.3,Beethoven Sonata in E-flat Major Op.31 No.3,2
Semifinal Recital,Semifinal,Liszt,Hungarian Rhapsody No.6,Liszt Hungarian Rhapsody No.6,2
Semifinal Recital,Semifinal,Ravel,Valses nobles et sentimentales,Ravel Valses nobles et sentimentales,2
Semifinal Recital,Semifinal,Liszt,Sonata in B Minor,Liszt Sonata in B Minor,2
Semifinal Recital,Semifinal,Scarlatti,Sonata in B Minor L.449,Scarlatti Sonata in B Minor L.449,2
Semifinal Recital,Semifinal,Scarlatti,Sonata in D Minor L.423,Scarlatti Sonata in D Minor L.423,2
Semifinal Recital,Semifinal,Schumann,Carnaval Op.9,Schumann Carnaval Op.9,2
Semifinal Recital,Semifinal,Chopin,Scherzo No.1 in B Minor Op.20,Chopin Scherzo No.1 in B Minor Op.20,2
Semifinals Recital,Semifinal,Schumann,Davidsbündlertänze Op.6,Schumann Davidsbündlertänze Op.6,2
Preliminary,Preliminary,Scarlatti,Sonata in G Minor K.8,Scarlatti Sonata in G Minor K.8,3
Preliminary,Preliminary,Grieg,'Butterfly' Op.43 No.1,Grieg 'Butterfly' Op.43 No.1,3
Preliminary,Preliminary,Grieg,'March of the Dwarfs' Op.54 No.3,Grieg 'March of the Dwarfs' Op.54 No.3,3
Preliminary,Preliminary,Beethoven,Sonata in E Major Op.109,Beethoven Sonata in E Major Op.109,3
Preliminary,Preliminary,Schubert,Sonata in A Minor D.784,Schubert Sonata in A Minor D.784,3
Preliminary,Preliminary,Bach,Goldberg Variations BWV 988,Bach Goldberg Variations BWV 988,3
Preliminary Phase 1,Preliminary,Bach,Partita No.5 in G Major BWV 829,Bach Partita No.5 in G Major BWV 829,3
Preliminary Phase 1,Preliminary,Beethoven,Sonata in E-flat Major Op.7,Beethoven Sonata in E-flat Major Op.7,3
Preliminary Phase 1,Preliminary,Chopin,Etude in A Minor Op.25 No.11,Chopin Etude in A Minor Op.25 No.11,3
Preliminary Phase 1,Preliminary,Bach,Toccata in E Minor BWV 914,Bach Toccata in E Minor BWV 914,3
Preliminary Phase 1,Preliminary,Beethoven,Sonata in D Major Op.10 No.3,Beethoven Sonata in D Major Op.10 No.3,3
Preliminary Phase 1,Preliminary,Chopin,Ballade No.4 in F Minor Op.52,Chopin Ballade No.4 in F Minor Op.52,3
Preliminary Phase 1,Preliminary,Chopin,Etude in F Major Op.10 No.8,Chopin Etude in F Major Op.10 No.8,3
Preliminary Phase 1,Preliminary,Liszt,Transcendental Etude No.8,Liszt Transcendental Etude No.8,3
Preliminary Phase 2,Preliminary,Mozart,Sonata in C Major K.330,Mozart Sonata in C Major K.330,3
Preliminary Phase 2,Preliminary,Beethoven,Sonata in A-flat Major Op.110,Beethoven Sonata in A-flat Major Op.110,3
Preliminary Phase 2,Preliminary,Mozart,Sonata in E-flat Major K.282,Mozart Sonata in E-flat Major K.282,3
Preliminary Recital,Preliminary,Beethoven,Sonata in A-flat Major Op.110,Beethoven Sonata in A-flat Major Op.110,3
Preliminary Recital,Preliminary,Chopin,Etude in G-sharp Minor Op.25 No.6,Chopin Etude in G-sharp Minor Op.25 No.6,3
Preliminary Recital,Preliminary,Liszt,Transcendental Etude No.5,Liszt Transcendental Etude No.5,3
Preliminary Recital,Preliminary,Ravel,Gaspard de la Nuit,Ravel Gaspard de la Nuit,3
Preliminary Recital,Preliminary,Beethoven,Sonata No.31 in A-flat Major Op.110,Beethoven Sonata No.31 in A-flat Major Op.110,3
Preliminary Recital,Preliminary,Liszt,Réminiscences de Don Juan,Liszt Réminiscences de Don Juan,3
Quarterfinal,Quarterfinal,Prokofiev,Sarcasms Op.17,Prokofiev Sarcasms Op.17,3
Quarterfinal,Quarterfinal,Debussy,L'isle joyeuse,Debussy L'isle joyeuse,3
Quarterfinal Recital,Quarterfinal,Mussorgsky,Pictures at an Exhibition,Mussorgsky Pictures at an Exhibition,3
Recital Program,Recital Program,Beethoven,Sonata in A-flat Major Op.110,Beethoven Sonata in A-flat Major Op.110,3
Recital Program,Recital Program,Mussorgsky,Pictures at an Exhibition,Mussorgsky Pictures at an Exhibition,3
Semifinal,Semifinal,Mozart,Sonata in C Major K.330,Mozart Sonata in C Major K.330,3
Semifinal,Semifinal,Liszt,Sonata in B Minor,Liszt Sonata in B Minor,3
Semifinal,Semifinal,Ginastera,Sonata No.1 Op.22,Ginastera Sonata No.1 Op.22,3
Semifinal Concerto,Semifinal,Mozart,Piano Concerto No.21 in C Major K.467,Mozart Piano Concerto No.21 in C Major K.467,3
Semifinal Concerto,Semifinal,Mozart,Piano Concerto No.20 in D Minor K.466,Mozart Piano Concerto No.20 in D Minor K.466,3
Semifinal Recital,Semifinal,Schubert,Sonata in C Minor D.958,Schubert Sonata in C Minor D.958,3
Semifinal Recital,Semifinal,Chopin,Nocturne in C Minor Op.48 No.1,Chopin Nocturne in C Minor Op.48 No.1,3
Semifinal Recital,Semifinal,Chopin,Etude in B Minor Op.25 No.10,Chopin Etude in B Minor Op.25 No.10,3
Semifinal Recital,Semifinal,Schumann,Carnaval Op.9,Schumann Carnaval Op.9,3
Semifinal Recital,Semifinal,Chopin,Sonata No.3 in B Minor Op.58,Chopin Sonata No.3 in B Minor Op.58,3
Preliminary,Preliminary,Liszt,Jeux d'eau,Liszt Jeux d'eau,4
Preliminary Phase 1,Preliminary,Chopin,Etude in A Minor Op.25 No.11,Chopin Etude in A Minor Op.25 No.11,4
Preliminary Phase 1,Preliminary,Chopin,Etude in A Minor Op.10 No.2,Chopin Etude in A Minor Op.10 No.2,4
Semifinal Recital,Semifinal,Liszt,Spanish Rhapsody,Liszt Spanish Rhapsody,4
Preliminary,Preliminary,Bach,Prelude and Fugue in E-flat Major BWV 852,Bach Prelude and Fugue in E-flat Major BWV 852,1
Preliminary,Preliminary,Rachmaninoff,Liebesleid,Rachmaninoff Liebesleid,1
Preliminary,Preliminary,Beethoven,Sonata in B Minor,Beethoven Sonata in B Minor,1
Preliminary,Preliminary,Liszt,La Campanella,Liszt La Campanella,2
Semifinal,Semifinal,Prokofiev,4 Etudes Op.2,Prokofiev 4 Etudes Op.2,2
Semifinal,Semifinal,Chopin,3 Mazurkas Op.59,Chopin 3 Mazurkas Op.59,2
Semifinal,Semifinal,Chopin,Etude in C-sharp Minor Op.10 No.4,Chopin Etude in C-sharp Minor Op.10 No.4,2
Semifinal,Semifinal,Chopin,Etude in G-flat Major Op.10 No.5,Chopin Etude in G-flat Major Op.10 No.5,2
Semifinal,Semifinal,Chopin,Etude in E-flat Minor Op.10 No.6,Chopin Etude in E-flat Minor Op.10 No.6,2
Preliminary,Preliminary,Bach,Prelude and Fugue in C-sharp Minor BWV 873,Bach Prelude and Fugue in C-sharp Minor BWV 873,3
Preliminary,Preliminary,Tchaikovsky,Nocturne Op.19 No.4,Tchaikovsky Nocturne Op.19 No.4,3
Semifinal,Semifinal,Bach,Prelude No.1 in C Major,Bach Prelude No.1 in C Major,3
Semifinal,Semifinal,Scriabin,Prelude No.2 in A Minor,Scriabin Prelude No.2 in A Minor,3
Semifinal,Semifinal,Prokofiev,4 Etudes Op.2,Prokofiev 4 Etudes Op.2,3
Semifinal,Semifinal,Liszt,Sonata in B Minor,Liszt Sonata in B Minor,3
Semifinal,Semifinal,Rachmaninoff,Variations on a Theme of Corelli Op.42,Rachmaninoff Variations on a Theme of Corelli Op.42,3
Semifinal,Semifinal,Rachmaninoff,Prelude in G-flat major Op.23 No.10,Rachmaninoff Prelude in G-flat major Op.23 No.10,3
Semifinal,Semifinal,Liszt,Hungarian Rhapsody No.12,Liszt Hungarian Rhapsody No.12,3
Semifinal,Semifinal,Schubert-Liszt,Erlkönig,Schubert-Liszt Erlkönig,3
Semifinal,Semifinal,Bach,Toccata in C Minor BWV 911,Bach Toccata in C Minor BWV 911,3
Semifinal,Semifinal,Mozart,Piano Concerto No.12 in A major K.414,Mozart Piano Concerto No.12 in A major K.414,3
Semifinal,Semifinal,Scriabin,Etude in C-sharp Minor Op.42 No.5,Scriabin Etude in C-sharp Minor Op.42 No.5,3
Preliminary,Preliminary,Bach,Prelude and Fugue in G Minor BWV 885,Bach Prelude and Fugue in G Minor BWV 885,4
Preliminary,Preliminary,Chopin,Etude in A Minor Op.25 No.11,Chopin Etude in A Minor Op.25 No.11,4
Preliminary,Preliminary,Beethoven,"Sonata in C Major Op.53 ""Waldstein""","Beethoven Sonata in C Major Op.53 ""Waldstein""",4
Preliminary,Preliminary,Bach,Prelude and Fugue in C-sharp Minor BWV 873,Bach Prelude and Fugue in C-sharp Minor BWV 873,4
Preliminary,Preliminary,Liszt,Transcendental Etude No.10,Liszt Transcendental Etude No.10,4
Preliminary,Preliminary,Chopin,Etude in A Minor Op.10 No.2,Chopin Etude in A Minor Op.10 No.2,4
Preliminary,Preliminary,Tchaikovsky,Dumka Op.59,Tchaikovsky Dumka Op.59,4
Preliminary,Preliminary,Beethoven,Sonata in A-flat Major Op.110,Beethoven Sonata in A-flat Major Op.110,4
Semifinal,Semifinal,Schumann,Symphonic Etudes Op.13,Schumann Symphonic Etudes Op.13,4
Semifinal,Semifinal,Tchaikovsky,Nocturne Op.19 No.4,Tchaikovsky Nocturne Op.19 No.4,4
